# 004_MO_T2504_03_Interior_and_Exterior_Renovation.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260923 (reports/assemblies/01-split.json); transcription: reports/assemblies/key-work/004_MO_T2504_03_Interior_and_Exterior_Renovation.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheets M-601 (page 39) and P-601 (page 31) of the Missouri National Guard Jefferson Barracks readiness center interior and exterior renovation (Casco Diversified), every claimed keyed-family table of this dev document.
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39 | DOAS SCHEDULE | DOAS | all 1 printed row | render: page 39 crop 244,75,2136,258 at 3x in 5 tiles (one row), notes in the same tiles; second read at 4x (crops 595,140,85,45 and 1882,140,85,45) of total CFM and output BTUS
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39 | ROOFTOP UNIT SCHEDULE | RTU | all 7 printed rows | render: page 39 crop 244,340,2136,340 at 3x in 5 tiles (seven rows at fixed heights), notes in the same tiles; second read at 4x (crops 650,445,65,140 and 1178,445,55,140 and 1662,445,85,140) of every row's CFM, total cooling and heating capacity
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39 | NATURAL GAS UNIT HEATER SCHEDULE | UNIT_HEATER | all 1 printed row | render: page 39 crop 495,698,890,130 at 3x in 2 tiles, notes in the same tiles; second read at 4x (crop 890,745,100,28) of BTUH OUTPUT
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39 | EXHAUST FAN SCHEDULE | FAN | all 3 printed rows | render: page 39 crop 1360,698,1025,250 at 3x in 3 tiles (MARK column repeated) and notes crop 1360,850,560,110 at 3x; second read at 4x (crops 1575,765,80,90 and 1862,765,80,90) of every row's CFM and RPM
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#31 | SUMP PUMP SCHEDULE | PUMP | all 1 printed row | render: page 31 crop 1095,270,1305,150 at 3x in 4 tiles, notes in the same tiles; second read at 4x (crop 1560,335,90,30) of GPM
#   004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#31 | HOT WATER RETURN PUMP SCHEDULE | PUMP | all 1 printed row | render: page 31 crop 1285,438,1115,145 at 3x in 3 tiles and mark/notes crop 1180,470,560,95 at 3x; second read at 4x (crop 1770,505,95,26) of FLOW
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturer/model, blower, static pressures, RPM of air units, filters' depth, air-side temperatures, face data, A2L data, MCA/MOCP/FLA, weights, vent and impeller sizes, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 004_MO_T2504_03_Interior_and_Exterior_Renovation: 6 table(s), 14 instance(s), 455 keyed attribute value(s) (126 printed, 329 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,building,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,floor,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,area_served,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,qty,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,supply_cfm,3000,cfm,TOTAL CFM,"printed '3,000'"
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,oa_cfm_min,,cfm,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,supply_fan_hp,3,hp,ELECTRICAL / HP: the unit's blower motor,printed '3.0'; author's reading of the printed row
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,supply_fan_qty,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,return_fan_hp,,hp,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,exhaust_fan_hp,,hp,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,vfd,yes,,NOTE 2,"note 2, the row's NOTES cell says ALL: 'DIRECT DRIVE, VARIABLE SPEED PLENUM BLOWER WITH FACTORY VFD'"
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,economizer,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,outdoor_air_pct,,%,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,cooling_type,dx,,DX COOLING,the row prints the DX COOLING block
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,cooling_mbh,,MBH,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,cooling_tons,,tons,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,dx_stages,,,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,chw_gpm,,gpm,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,chw_ewt_f,,F,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,chw_lwt_f,,F,,not printed
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#39,DOAS SCHEDULE,DOAS - 1,DOAS,chw_wpd_ft,,ft,,not printed
