sheet,tag,role,in_table,note
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,EWC-1,plan,false,"Electric water cooler, single instance next to fountain symbol between the two restrooms."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,FCO,plan,false,"Floor cleanout, 2 instances: one at base of stack near Janitor Closet, one at the courtyard sanitary line tie-in, each with arrow leader to a cleanout symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,FD-1,plan,false,"Floor drain type 1, 4 instances with arrow leaders to floor drain symbols (shower area and restrooms)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,GCO,plan,false,"Grade cleanout, single instance with leader arrow to a cleanout symbol near the courtyard sanitary line, next to keynote box '3'."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,GI-1,plan,false,"Grease interceptor, drawn as a hexagonal equipment symbol with 'GI' over '1' stacked inside it (two separate text spans forming one tag), near the EX Triple Bowl Sink; matches keyed note 6 ('NEW ON-FLOOR GREASE INTERCEPTOR'). Unique equipment instance."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,L-1,plan,false,"Lavatory type 1, 2 instances (Men and Women restroom lavatory banks)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,L-2,plan,false,"Lavatory type 2, single instance labeling a sink symbol near Storage 19."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,MSB-1,plan,false,"Mop service basin, single instance in Janitor Closet 42, labeling a square basin symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,SH-1,plan,false,"Shower fixture type mark; drawn next to ~11 shower-head symbols across two shower rooms (43, 44). Repeatable type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,SH-2,plan,false,"Second shower type mark, 2 instances in shower room 44."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,UR-1,plan,false,"Urinal type 1, 3 instances in Men restroom."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,WC-1,plan,false,"Water closet type 1, drawn next to toilet symbols in Men/Women restrooms (6 instances)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,WC-2,plan,false,"Water closet type 2, single instance near top of restroom stack."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,WC-3,plan,false,"Water closet type 3, single instance labeling toilet symbol in room 21 (TOILET)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#24,WCO,plan,false,"Wall cleanout, drawn with arrow leader to a cleanout symbol atop a vent riser near the shower rooms. No numeric suffix on this sheet, but is a genuine equipment/accessory tag on a symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,EWC-1,plan,false,"Electric water cooler fixture type mark, 1 instance between the two restrooms, next to a drinking-fountain symbol (text partially clipped by sheet edge in render but confirmed as 'EWC-1' in the text-span dump)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,GI-1,plan,false,"Grease interceptor equipment tag, drawn as a hexagon symbol with 'GI' over '1' stacked inside, with a leader arrow pointing to the existing kitchen sink/interceptor location near the triple-bowl sink. Verified via close-up crop; distinct from the adjacent square keyed-note bubble '1' (which is the plumbing keyed note reference, correctly excluded)."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,L-1,plan,false,"Lavatory fixture type mark, repeated 4x (2 in men's restroom 40, 2 in women's restroom 41) with leaders to sink symbols. Repeatable type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,L-2,plan,false,"Lavatory fixture type mark, 1 instance near storage/office area with leader to sink symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,MSB-1,plan,false,"Mop service basin fixture type mark, 1 instance in Janitor Closet 42 with leader to basin symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,SH-1,plan,false,"Shower-head fixture type mark, repeated ~10x across the two shower rooms (43, 44) with leader lines to shower symbols. Repeatable schedule/type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,SH-2,plan,false,"Shower-head fixture type mark, 2 instances in shower room 44 with leader lines to shower symbols. Repeatable type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,UR-1,plan,false,"Urinal fixture type mark, 3 instances in men's restroom 40 with leaders to urinal symbols. Repeatable type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,WC-1,plan,false,"Water-closet fixture type mark, repeated 6x across men's (40) and women's (41) restrooms with leaders to toilet symbols. Repeatable type mark, listed once."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,WC-2,plan,false,"Water-closet fixture type mark, 1 instance in men's restroom 40 with leader to toilet symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#25,WC-3,plan,false,"Water-closet fixture type mark, 1 instance in toilet room 21 with leader to toilet symbol."
004_MO_T2504_03_Interior_and_Exterior_Renovation.pdf#26,DOAS-1,plan,false,"Hexagon tag on dedicated-outdoor-air-supply unit glyph, left-center of right plan."
