sheet,table_title,x0,top,x1,bot,provenance
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#30,EXISTING PANEL ELP SCHEDULE,1024.3,103.0,1852.3,737.2,"verified by eye, whole-sheet overlay @0.75x (~5pt)"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#30,EXISTING PANEL LP1 SCHEDULE,1870.3,103.0,2698.3,737.2,"verified by eye, whole-sheet overlay @0.75x (~5pt)"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#30,EXISTING PANEL LP2 SCHEDULE,1024.3,755.2,1852.3,1389.3,"verified by eye, whole-sheet overlay @0.75x (~5pt)"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#30,EXISTING PANEL LP3 SCHEDULE,1870.3,755.2,2698.3,1389.3,"verified by eye, whole-sheet overlay @0.75x (~5pt)"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#30,EXISTING PANEL MDP SCHEDULE,167.4,103.0,995.4,737.2,"verified by eye, whole-sheet overlay @0.75x (~5pt)"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#2,FIRE RATED CONSTRUCTION SCHEDULE,3652.62,880.62,4521.5,1724.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#4,LIFE SAFETY - EXISITNG EGRESS DOOR SCHEDULE,2892.38,2964.38,3708.88,3093.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.19pt vs vectorgrid's own box"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#5,DESIGN WIND PRESSURE FOR ROOF COMPONENTS (PSF),1802.0,1178.5,2450.0,1484.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.17pt vs vectorgrid's own box"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#5,DESIGN WIND PRESSURE FOR WALL COMPONENTS (PSF),1802.0,1529.62,2450.0,1781.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#13,DUCT CONSTRUCTION AND LEAKAGE SCHEDULE,3524.25,2995.38,5393.38,3471.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
