sheet,tag,role,in_table,note
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,AHU-1,plan,false,"Air handling unit box symbol, Mechanical 122 room, Level One plan, unique instance."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,AHU-2,plan,false,"Air handling unit box symbol, Mechanical 122 room, Level One plan, unique instance."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,CH-1,plan,false,"Air-cooled chiller box symbol (outside, keynote 10/11/12 area), Level One plan, unique instance."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,CWP-1,plan,false,"Chilled water pump symbol, Mechanical 122 room, Level One plan, unique instance."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,CWP-2,plan,false,"Chilled water pump symbol, Mechanical 122 room, Level One plan, unique instance."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,D10,plan,false,"Ceiling diffuser type tag (D10 over CFM, e.g. D10/230) on diffuser glyphs; occurs ~6x across both rooms, listed once as repeatable type."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,D12,plan,false,"Ceiling diffuser type tag (D12 over CFM, e.g. D12/400) on diffuser glyphs; occurs ~7x, listed once as repeatable type."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,D6,plan,false,"Ceiling diffuser type/size tag (D6 over CFM value, e.g. D6/50) drawn on square diffuser glyph; repeatable type mark, one occurrence on this sheet."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,D8,plan,false,"Ceiling diffuser type tag (D8 over CFM, e.g. D8/250) on diffuser glyphs; occurs 2x, listed once as repeatable type."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,DP,plan,false,Duct-mounted differential pressure sensor symbol box labeled DP near AHU-2 per key note 17; one occurrence.
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,EDH-1,plan,false,Electric duct heater tag; appears once on Attic plan and once on Level One plan (near Shower 109/Toilet 110) - same duct-mounted unit serving through both levels.
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,EDH-2,plan,false,"Electric duct heater tag near Corridor 115, Level One plan (two adjacent leader labels for same unit)."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,EDH-3,plan,false,"Electric duct heater tag; appears near Lab 3/119 and again near IT/COMM 120 - two leader-label instances for what appears to be duct heaters along the same run (kept as one tag per the identical literal; if genuinely two physical units, both share this label)."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,EDH-4,plan,false,"Electric duct heater tag near Lab 1/107, Level One plan; appears twice (near D12/400 diffuser and again near corridor) for same unit."
009_FL_USDA_APHIS_Plant_Inspection_Station_Building.pdf#15,EDH-5,plan,false,"Electric duct heater tag near Lab 3/119 - Lab 4/118 area, Level One plan; appears twice for same unit."
