sheet,tag,role,in_table,note
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,BFP,plan,false,"Backflow preventer, boxed label directly on the 3"" CW domestic water line near the top of the mechanical room. Single instance. Not in textSpans; confirmed visually."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CT-1,plan,false,"Existing cooling tower, circular callout split 'CT' over '1' with a keyed-note-2 box below it ('remove existing cooling tower'). Unique instance. NOT present in textSpans() -- this sheet's equipment labels are drawn with vector/SHX-style text that pdf.ts textSpans() does not extract; confirmed purely from the rendered image (zoomed crop)."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CT-2,plan,false,"Same pattern as CT-1, second existing cooling tower. Not extractable via textSpans; confirmed visually."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CT-3,plan,false,"Same pattern, third existing cooling tower. Not extractable via textSpans; confirmed visually."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CWP-1,plan,false,"Existing condenser water pump, rectangular box label in the pump room, unique instance (one of three pumps). Not in textSpans (SHX-style text); confirmed visually."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CWP-2,plan,false,Second condenser water pump box label.
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,CWP-3,plan,false,Third condenser water pump box label.
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,HTP,plan,false,"Single shaded/gray box label next to TCP-19 (appears grayed to indicate existing-to-remain), one distinct panel instance. Not in textSpans; confirmed visually."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,TCP,plan,false,"Bare 'TCP' box label (no number) appearing twice more along the same equipment row as TCP-19, for two more distinct physical control panels -- treated as one repeatable type mark. Not in textSpans; confirmed visually. Lower confidence, same caveat as bare 'VFD'."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,TCP-19,plan,false,"Unique numbered control panel tag, rectangular box, keynote-1 '(TYP)' leader points to it ('existing piping/equipment shall remain'). Not in textSpans; confirmed visually via zoomed crop."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,VFD,plan,false,"Bare 'VFD' label (no number) on a small box symbol at 3 separate locations along the CWP-1/CWP-2/CWP-3 discharge piping -- distinct physical drives for the 3 pumps, all labeled with the identical literal 'VFD', so treated as one repeatable type mark (listed once). Not in textSpans; confirmed visually. Lower confidence this counts vs. being a plain equipment-type glyph rather than a schedule mark."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,VFD-CT-1,plan,false,"VFD for cooling tower CT-1, unique instance. Confirmed in textSpans (str repeated 3x identically at x0=2790.8,y0=1362.4 -- overlapping duplicate spans, same literal tag, counted once)."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,VFD-CT-2,plan,false,"VFD for cooling tower CT-2. In textSpans at x0=2788.9,y0=1323.4 (3 duplicate spans)."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#12,VFD-CT-3,plan,false,"VFD for cooling tower CT-3. In textSpans at x0=2788.8,y0=1125.4 (3 duplicate spans)."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,AS-1,plan,false,"Air separator circle glyph near PCHP row, keynote 5 beside it."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,AS-2,plan,false,Air separator circle glyph near boiler-3 / PHWP area.
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,Boiler-1,plan,false,"Existing boiler box glyph, keynote 1 (existing to remain)."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,Boiler-2,plan,false,Existing boiler box glyph.
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,Boiler-3,plan,false,Existing boiler box glyph.
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CAF-1,plan,false,Labeled box near water softener (combustion air fan likely).
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CF-1,plan,false,"Chemical feeder circle, bottom center, keynote 7 beside it."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CF-2,plan,false,"Chemical feeder circle, near Boiler-3, keynote 7 beside it."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CH-1,plan,false,"New water-cooled chiller box (bottom of vertical row of 3), keynote 2 beside it."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CH-2,plan,false,New chiller box (middle of row).
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,CH-3,plan,false,New chiller box (top of row).
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,EF-2,plan,false,"Box glyph near REFRIG. MONITOR / third chiller row, exhaust fan interlocked with refrigerant monitor per keynote 9."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,ET-1,plan,false,"Circle glyph near bottom center, keynote 6 beside it."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,FCU-1,plan,false,"Fan coil unit box; literal 'FCU-1' drawn twice on this sheet (near boiler skid and near chiller row) but same literal, listed once."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,H-1,plan,false,"Labeled box near electrical room, top of sheet."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,H-2,plan,false,"Labeled box near electrical room, top of sheet."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,P-1,plan,false,"Small equipment box with leader, next to CAF-1/water softener skid."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,P-2,plan,false,"Small equipment box with leader, adjacent to P-1."
012_MO_M2430_01_Chiller_Upgrade_Center_for_Behavioral.pdf#13,PCHP-1,plan,false,"Primary chilled-water pump icon, one of a row of three."
