# coverage: MOTORIZED DAMPER SCHEDULE | complete
# # coverage: GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE | complete
#
# 015_VA_P_095_Replace_Submarine_Pier_3_Utility.cells.csv — CELL-tier ground truth, HELD OUT.
#
# These tables were not chosen. They were drawn by seed 9051 from the 168 keyed
# tables holding between 12 and 130 cells, so the sample cannot be the easy ones
# or the ones already fixed. Every cell was then read off a render of the table
# at 2-4x and checked, cell by cell, against what the extractor returned; where
# the two differed the RENDER decided.
#
# It differed once, and that is what the tier is for: 014_MT#4 PUMP SCHEDULE
# holds a REMARKS list beside an ELECTRICAL DATA note, and reading the cell line
# by line spliced the second into the middle of the first —
#   "... HOUSEKEEPING PAD UNDER EACH PUMP ELECTRICAL DATA: 2. PROVIDE VFD ..."
# 25 of the 175 multi-line cells in this corpus are set that way. See
# celltext._side_by_side_blocks.
#
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
# HELD OUT, second sample — drawn by seed 770231 from the 162 keyed tables
# holding 12-130 cells that the first sample had not taken. Every cell read off
# a render of the table and checked against what the extractor returned; where
# the two differed the RENDER decided. 277 of 277 matched.
#
sheet,table_title,row,col,text
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,0,0,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,0,MARK
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,1,TYPE
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,2,LOCATION
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,3,MOUNTING HEIGHT (FT)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,4,REFERIGERANT TYPE
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,5,SUPPLY FAN DATA
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,9,COOLING
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,13,HEATING CAPACITY (MBH)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,14,ELECTRIC HEATER
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,17,ELECTRIC DATA
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,1,23,NOTES
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,5,TOTAL AIRFLW (CFM)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,6,EXTERNAL STATIC PRESSURE (IN WC)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,7,OUTSIDE AIRFLOW (CFM)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,8,FAN MOTOR (HP)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,9,TOTAL COOLING (MBH)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,10,SENSIBLE COOLING (MBH)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,11,EAT
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,14,HEATING CAPACITY (MBH)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,15,ELECTRIC HEATER (KW)
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#20,GATEHOUSE SPLIT SYSTEM AIR CONDITIONER HEAT PUMP SCHEDULE,2,16,ELEC HTR STAGES
