sheet,tag,role,in_table,note
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,AS-1,detail,false,"Air separator device symbol on piping loop, Section at Pump (bottom-right)."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,CCC-2,detail,false,"Closed circuit cooler, large equipment box, Section at USB1/USB0."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,CS-4,detail,false,"Small cylindrical device (separator/condensate item) attached to MPAC-2, Section at USB3."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,EF-3,detail,false,"Exhaust fan inline symbol, Section at USB3 (bottom-left)."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,ET-1,detail,false,"Expansion tank symbol (vertical cylinder), Section at Pump."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,FC-1,detail,false,"Fan coil unit box symbol in duct run, Section at USB1/USB0 (top-left)."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,GFS-1,detail,false,"Glycol feed system device symbol, Section at Pump."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,GR-2,detail,false,"Roof goose-neck vent cap symbol, Section at USB3."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,L-11A,detail,false,"Wall louver symbol (hatched box) behind MD-4, labeled 'L-11A 72x48 / 4675 CFM', Section at Pump."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,L-11B,detail,false,"Wall louver symbol (hatched box) behind MD-5, labeled 'L-11B 72x48 / 4675 CFM', Section at USB3."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,L-3,detail,false,"Wall louver symbol (hatched box) behind BDD damper, labeled 'L-3 48x48 / 6080 CFM', Section at USB3."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,L-9,detail,false,"Wall louver symbol (hatched box) behind MD-2, labeled 'L-9 24x16 / 550 CFM'."
015_VA_P_095_Replace_Submarine_Pier_3_Utility.pdf#10,MD-2,detail,false,"Motorized damper symbol at louver L-9, Section at USB1/USB0."
