sheet,tag,role,in_table,note
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-1,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-2,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-3,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-4,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-5,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,ACU-A-6,plan,false,unique instance mark on boxed motor symbol
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,CP(E),plan,false,"repeatable type mark - existing control panel box drawn twice at different locations (one location's text layer double-rendered the same string), listed once"
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,DP-M-29/QQ,plan,false,"distribution panel with transformer glyph, near TR-POWERSMITHS"
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,DT-A5,plan,false,device tag on wall-mounted bar glyph in room A152
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-1,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-13,plan,false,"exhaust-fan unique tag on its own motor box (numbering not contiguous with E-A-1..8, expected on a multi-sheet set)"
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-2,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-3,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-4,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-5,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-6,plan,false,exhaust-fan unique tag on its own motor box
017_MD_NIST_Gaithersburg_Building_101_HVAC_Cooling.pdf#21,E-A-7,plan,false,exhaust-fan unique tag on its own motor box
