sheet,tag,role,in_table,note
01_NY_VA_Northport_Dialysis_100CD.pdf#102,AHU-1,plan,false,"Roof-mounted air handling unit, drawn as a labeled rectangular equipment outline on sheet E205.1 (electrical roof/penthouse plan); confirmed by crop."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CHP-C,plan,false,"Existing electrical panel, hatched-box symbol labeled 'EX PANEL CHP-C'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CLP-C,plan,false,"New electrical panelboard, hatched-box symbol labeled 'PANEL CLP-C' (per Special Note 1, new panelboard replacing a demolished one); also referenced repeatedly via circuit call-outs like '25(CLP-C)', '27(CLP-C)'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CMCCP-C1,plan,false,"Existing motor-control-center panel, narrow hatched-box symbol labeled 'EX CMCCP-C1' near the INHP-C/CT-3 panel group."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CMCCP-C2,plan,false,"Existing motor-control-center panel, narrow hatched-box symbol labeled 'EX CMCCP-C2', paired with CMCCP-C1."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CRLPH,plan,false,"Existing electrical panel, hatched-box symbol labeled 'EX PANEL CRLPH'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,CT-3,plan,false,"Existing electrical panel, hatched-box symbol labeled 'EX PANEL CT-3'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,DS-AHU-1 SA,plan,false,"Disconnect switch symbol for AHU-1 supply-air fan, drawn directly on/adjacent to the AHU-1 outline with its own switch glyph."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,DS-RF-1,plan,false,Disconnect switch symbol next to relief/return fan RF-1.
01_NY_VA_Northport_Dialysis_100CD.pdf#102,DS-RF-2,plan,false,Disconnect switch symbol next to relief/return fan RF-2.
01_NY_VA_Northport_Dialysis_100CD.pdf#102,INHP-C,plan,false,"Existing electrical panel, hatched-box symbol labeled 'EX PANEL INHP-C'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,NLP-C,plan,false,"Existing electrical panel, hatched-box symbol labeled 'EX PANEL NLP-C'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,NMCCP-C1,plan,false,"Existing motor-control-center panel near the AHU/RF equipment group, box symbol labeled 'EX NMCCP-C1'; also referenced via circuit designators like 'H2(NMCCP-C2)'."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,NMCCP-C2,plan,false,"Existing motor-control-center panel, box symbol labeled 'EX NMCCP-C2', paired with NMCCP-C1."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,P-1,plan,false,"Pump, labeled 'PUMP P-1', drawn with a circular pump glyph (M/HOA motor-control marks) near the electrical panel group."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,RF-1,plan,false,"Roof relief/return fan, drawn as a circular fan glyph with leader; unique instance mark."
01_NY_VA_Northport_Dialysis_100CD.pdf#102,RF-2,plan,false,"Second roof relief/return fan, circular fan glyph with leader; unique instance mark (paired with RF-1)."
