# # coverage: FAN COIL UNIT SCHEDULE | complete
#
# 021_XX_Laboratory_building_mechanical_drawings_lab.cells.csv — CELL-tier ground truth, HELD OUT.
#
# These tables were not chosen. They were drawn by seed 9051 from the 168 keyed
# tables holding between 12 and 130 cells, so the sample cannot be the easy ones
# or the ones already fixed. Every cell was then read off a render of the table
# at 2-4x and checked, cell by cell, against what the extractor returned; where
# the two differed the RENDER decided.
#
# It differed once, and that is what the tier is for: 014_MT#4 PUMP SCHEDULE
# holds a REMARKS list beside an ELECTRICAL DATA note, and reading the cell line
# by line spliced the second into the middle of the first —
#   "... HOUSEKEEPING PAD UNDER EACH PUMP ELECTRICAL DATA: 2. PROVIDE VFD ..."
# 25 of the 175 multi-line cells in this corpus are set that way. See
# celltext._side_by_side_blocks.
#
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
sheet,table_title,row,col,text
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,0,0,FAN COIL UNIT SCHEDULE
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,0,UNIT MARK
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,1,CFM
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,2,COOLING DATA
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,8,HEATING DATA
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,13,FAN MOTOR
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,1,18,REMARKS
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,2,EAT (DEG F)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,4,EWT (DEG F)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,5,TOTAL CAPACITY (MBH)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,6,SENSIBLE CAPACITY (MBH)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,7,FLOW (GPM)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,8,PD (FT)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,9,EAT
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,10,EWT
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,11,HEATING (MBH)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,12,MAX GPM
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,13,EXT. SP (PA)
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,14,RPM
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,15,HP
021_XX_Laboratory_building_mechanical_drawings_lab.pdf#13,FAN COIL UNIT SCHEDULE,2,16,VOLT
