sheet,tag,role,in_table,note
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#10,AC-1-A455A,plan,false,"Octagon equipment tag with leader line near CONFERENCE ROOM A455, top floor plan area. Unique instance mark (AC unit designated by building/room location). Confirmed visually (octagon glyph, text 'AC' over '1-A455A') and in textSpans (str 'AC' x0=3101.5,y0=947.5; '1'/'-'/'A455A' at x0=3078-3095,y0=976.8)."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#10,AC-1-B418,plan,false,"Octagon equipment tag with leader line near OFFICE B419/B421 corridor, lower-left of plan. Unique instance mark. Confirmed visually and in textSpans (str 'AC' x0=992.1,y0=1906.6; '1'/'-'/'B418' at x0=974.9-991.7,y0=1935.6)."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#10,ACCU-1-A455A,plan,false,"Octagon equipment tag (air-cooled condensing unit) with leader line to a small equipment box near NEUROLOGY/PADRECC corridor. Unique instance mark. Confirmed visually and in textSpans (str 'ACCU' x0=2546.6,y0=1354.8; '1'/'-'/'A455A' x0=2536.8-2553.6,y0=1384.1)."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#10,ACCU-1-A502,plan,false,"Octagon equipment tag (air-cooled condensing unit) directly below/adjacent to ACCU-1-A455A, own leader line to a separate equipment box. Unique instance mark. Confirmed visually and in textSpans (str 'ACCU' x0=2508.7,y0=1464.7; '1'/'-'/'A502' x0=2505.4-2522.2,y0=1494)."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#10,T,plan,false,"Small circle-enclosed 'T' (thermostat) symbol drawn on the plan; repeatable type mark, listed once. Confirmed two clear instances visually: one between CONFERENCE ROOM A455 and TR A455A (co-located with AC-1-A455A), another inside TR B418 (co-located with AC-1-B418) -- consistent with a thermostat serving each AC unit. Several other bare 'T' textSpans on this page (e.g. near stair symbols at y~662, and ones embedded inside words like 'TR', 'TLT', 'TELE') were checked by cropping and are NOT thermostats -- they are structural column glyphs or fragments of unrelated room-label text, and were excluded."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#11,AC-1-A502,plan,false,"Hexagonal equipment tag near center of plan (Bldg 1, 5th floor, near room A502/TR). Text spans confirm 'AC' at (3112,2054) directly above '1' + 'A502' at (3095-3112,2083) forming the tag '1-A502' inside/below the hexagon glyph, labeling an AC (air-conditioning/condensing) unit. This is a real drawn equipment tag, not a room number."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#12,EWC,plan,false,"Electric Water Cooler plumbing fixture, drawn as small wall-mounted symbol next to '1 BEDROOM PATIENT ROOM A624' / 'STAIR #2', labeled 'EWC' directly beside the glyph (verified via crop at PDF-point ~1420,1285). Single occurrence on this sheet (repeatable type mark). A faint '09' text span sits almost exactly on top of the symbol (x0=2828.2,y0=2570.8 vs EWC's x0=2840.4,y0=2569.5) but is not legible as a real numeral even at 6x-10x crop scale (looks like a tiny dot inside the icon) -- did not count it as part of the tag; flagging in case it is actually 'EWC-09' at higher native resolution."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#12,RAD,plan,false,"Radiator (baseboard heating unit) symbol drawn as a small hatched rectangle under exterior windows; label 'RAD' appears repeatedly next to individual radiator glyphs across many different patient rooms (e.g. x0~1494/1813 doubled-px, y0 sequence 1751.9, 2157.2, 2236.6, 2332.6/2333.4, 2412.3/2414.5, 2495.4/2495.8, 2587.8/2589.7 -- roughly one pair per room bay along the wing). This is a repeatable type/schedule mark, listed once. A different spelled-out variant 'Radiator' (full word) is used for the same equipment type in the Renal Exam suite (rooms B624/B625A.../B628 area, verified by crop) -- NOT counted as a second distinct tag since 'Radiator' is a plain descriptive word rather than a short alphanumeric code, but noting it here since it labels the identical physical equipment class."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#13,AC-1-A741,plan,false,"Two-line callout box 'AC' over '1-A741' with a leader line pointing into room TR/A741 (near dining room A750, west of the '1/1-M-270' detail bubble). This is a unique equipment-instance tag for a specific AC unit, distinct from the room number A741 printed separately on the plan. Cross-checked against textSpans: tokens 'AC' (x0=2275.7,y0=1508.9), '1'/'-'/'A741' (x0=2258-2275,y0=1538.2) sit directly below/adjacent, consistent with the rendered callout box."
032_PA_Construct_EHRM_Infrastructure_Upgrades.pdf#13,EWC,plan,false,"Text 'EWC' immediately left of a small wall-mounted fixture glyph (electric water cooler) outside room STAFF/A702, near NURSE STATION A729. Repeatable fixture-type mark (same label would tag every EWC in the building), listed once. textSpans token 'EWC' at x0=2952.9,y0=2332.1 matches the rendered symbol location."
