# 033_MN_VA_Project_656_18_301_Construct_Replace.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260928 (reports/assemblies/tier4/01-split.json); transcription: reports/assemblies/key-work/033_MN_VA_Project_656_18_301_Construct_Replace.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheets M501 and M502 MECHANICAL - SCHEDULES (pages 68 and 69) of the Building 51 MEP systems project, St. Cloud VAHCS MN (Bancroft Architects + Engineers), the tables the fourth tier's seed drew for its AHU, FAN and PUMP strata.
#   033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68 | AIR HANDLING UNIT SCHEDULE | AHU | all 1 printed row | render: page 68 overview at 40 dpi; crop 175,1555,2760,200 at 2.4x in 5 tiles (EQUIPMENT TAG column repeated), notes read in the text layer and on the overview; second read at 3x of the row, every keyed cell
#   033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68 | EXHAUST FAN SCHEDULE | FAN | all 3 printed rows | render: page 68 overview at 40 dpi; crop 1655,340,1230,285 at 2.4x in 2 tiles (EQUIPMENT TAG column repeated), notes included; second read at 3x of EF-2, EF-2A and EF-19, every keyed cell
#   033_MN_VA_Project_656_18_301_Construct_Replace.pdf#69 | PUMP SCHEDULE | PUMP | all 2 printed rows | render: page 69 overview at 40 dpi; crop 960,1655,805,265 at 2.6x, notes included; second read at 3x of both rows, every keyed cell
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturers and models, room locations, dimensions and weights, static pressures of the air handler's fans, fan types and speeds, brake horsepower, coil rows, fins, velocities and air pressure drops, air temperatures, the heat pump's source-water side, the humidifier's performance, MCA and MOCP, pump NPSH, impeller and efficiency, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 033_MN_VA_Project_656_18_301_Construct_Replace: 3 table(s), 6 instance(s), 123 keyed attribute value(s) (56 printed, 67 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,building,,,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,floor,,,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,area_served,,,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,qty,,,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,supply_cfm,6200,cfm,SUPPLY FAN / SUPPLY CFM,"printed '6,200'"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,oa_cfm_min,2100,cfm,MIN. O.A.,"printed '2,100'"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,supply_fan_hp,10,hp,"SUPPLY FAN / MOTOR / HP: each motor (""(2) @ 10"": two motors at 10 hp)",author's reading of the printed row
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,supply_fan_qty,2,,SUPPLY FAN / NUMBER OF FANS,
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,return_fan_hp,5,hp,RETURN FAN / MOTOR / HP,printed '5.0'
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,exhaust_fan_hp,,hp,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,vfd,,,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,economizer,airside,,NOTE 10,"note 10: 'UNIT SHALL HAVE THE FOLLOWING CONFIGURATION: ... INLET PLENUM, RETURN FAN, ECONOMIZER SECTION, ...' (NOTES 1-11)"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,outdoor_air_pct,,%,,not printed
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#68,AIR HANDLING UNIT SCHEDULE,AHU-6,AHU,cooling_type,dx,,DX COIL (GEOTHERMAL HEAT PUMP),the row prints a DX coil block served by the unit's integral water source heat pump (note 7)
