sheet,tag,role,in_table,note
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,AHU-6,plan,false,"unique air handling unit, drawn on duct main, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,RC,plan,false,repeatable diffuser/grille type mark (Return + schedule-type C / egg-crate grille); listed once
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,RD,plan,false,repeatable diffuser/grille type mark (Return + schedule-type D / deflection register); listed once
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,SA,plan,false,"repeatable diffuser/grille type mark (Supply + schedule-type A / square panel face diffuser), compound direction+type tag drawn on every matching supply diffuser glyph across pages 57-59; listed once"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,SB,plan,false,repeatable diffuser/grille type mark (Supply + schedule-type B / double-deflection grille for spiral duct); listed once
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,SUH-1,plan,false,"unique suspended unit heater, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,VAV-12,plan,false,"unique VAV terminal box, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,VAV-7,plan,false,"unique VAV terminal box, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,VAV-8,plan,false,"unique VAV terminal box, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,VAV-9,plan,false,"unique VAV terminal box, circled tag on ductwork, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,VAV-9A,plan,false,"unique VAV terminal box, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#57,WL-1,plan,false,"unique wall louver, drawn with leader on ductwork, basement Area 1"
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#58,EC,plan,false,repeatable diffuser/grille type mark (Exhaust + schedule-type C / egg-crate); listed once
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#58,ED,plan,false,repeatable diffuser/grille type mark (Exhaust + schedule-type D); listed once
033_MN_VA_Project_656_18_301_Construct_Replace.pdf#58,EF-2,plan,false,"unique exhaust fan, basement Area 2"
