# 038_NC_VA_Project_637_22_700_EHRM_Infrastructure.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,MINI-SPLIT INDOOR UNIT SCHEDULE,279.06,248.94,1379.62,751.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.13pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,MINI-SPLIT OUTDOOR UNIT SCHEDULE,1569.81,248.94,2903.31,696.56,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,DC CONDENSING UNIT SCHEDULE,1732.69,788.06,2544.06,936.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,DC CRAC UNIT SCHEDULE,279.06,869.06,1583.19,1139.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,"DIFFUSERS, REGISTERS, & GRILLES SCHEDULE",279.06,1170.69,1198.94,1292.81,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#20,FAN SCHEDULE,279.06,1338.81,1367.31,1407.94,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#42,COPPER FEEDER SCHEDULE,2428.69,786.69,2934.94,1036.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#43,COPPER FEEDER SCHEDULE,2425.62,784.5,2931.94,1033.94,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,Branch Panel: (E) C1 Location: SWITCHGEAR BF134 Supply From: Mounting: SURFACE Enclosure: Type 1 Volts: 480/277 Wye Phases: 3 Wires: 4 A.I.C. Rating: 65000 Mains Type: MLO Mains Rating: 800 A,196.25,129.25,1069.25,832.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,Branch Panel: (E) BC3 Location: TR (DECOMMISSIONED) BC143 Volts: 120/208 Wye A.I.C. Rating: 35000 Supply From: T-UPS Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 800 A Enclosure: Type 1 MCB Rating: 600 A,1116.75,129.25,1980.75,751.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,Branch Panel: (E) CH2 Location: SWITCHGEAR 1C293 Volts: 480/277 Wye A.I.C. Rating: 42000 Supply From: Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 800 A Enclosure: Type 1 MCB Rating: 800 A,2040.06,129.25,2904.06,751.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,Branch Panel: BCL-DC Location: DATA CENTER (NEW) BC131B Volts: 120/208 Wye A.I.C. Rating: 42000 Supply From: T-BCLDC Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 600 A Enclosure: Type 1 MCB Rating: 600 A,196.25,880.75,1060.25,1503.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,UPS: UPS-A Location: DATA CENTER (NEW) BC131B Supply From: BCL-DC Mounting: FLOOR Enclosure: NEMA 1 Volts: 120/208 Wye Phases: 3 Wires: 4 A.I.C. Rating: Mains Type: MLO Bus Rating: 500 A,1116.75,880.75,1980.75,1297.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#44,UPS: UPS-B Location: DATA CENTER (NEW) BC131B Supply From: (E) BC3 Mounting: FLOOR Enclosure: NEMA 1 Volts: 120/208 Wye Phases: 3 Wires: 4 A.I.C. Rating: Mains Type: MLO Bus Rating: 500 A,2040.06,880.75,2904.06,1297.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
