sheet,tag,role,in_table,note
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,CD-1,plan,false,"Ceiling diffuser/supply air terminal type mark, small square box-with-X glyph on duct, appears ~36x across the plan (each with its own CFM/size sub-label e.g. '10/250' which is NOT part of the tag). Repeatable type mark, listed once."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,CD-2,plan,false,"Second ceiling diffuser type mark, same box-with-X glyph, ~16 occurrences. Repeatable, listed once."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,CD-E,plan,false,"Existing ceiling diffuser (suffix '-E'=existing). Text extraction splits it into 3 spans ('CD','-','E') at identical y — confirmed by rendering crop showing 'CD-E' directly on a diffuser box glyph. ~17 occurrences, repeatable, listed once."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,EG-1,plan,false,"Exhaust grille type 1, box-with-diagonal-hatch glyph on duct. ~29 occurrences, repeatable, listed once."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,EG-2,plan,false,"Exhaust grille type 2. ~7 occurrences, repeatable."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,EG-3,plan,false,"Exhaust grille type 3. ~5 occurrences, repeatable."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,EG-E,plan,false,"Existing exhaust grille, split across spans 'EG'/'-'/'E' same as CD-E pattern; confirmed on a grille glyph in render crop. ~5 occurrences, repeatable."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,FD,plan,false,"Fire damper, drawn directly on a duct-mounted damper glyph (confirmed via render crop at CD-1/EG-1 cluster near grid 12-14). 5 occurrences, repeatable type mark."
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,G,plan,false,CO2/gas sensor symbol inside a circle glyph on an exhaust-air duct ('36x12 EA UP') per render crop. 1 occurrence.
040_IL_VA_Solicitation_36C77623B0051_Expand_Sterile.pdf#15,H,plan,false,Humidistat symbol inside a circle glyph (confirmed via render crop next to a 'T' thermostat circle). 1 real occurrence on-plan (a second bare 'H' is part of the 'NORTH' compass text and was excluded).
