# coverage: ELECTRIC DOMESTIC WATER HEATER SCHEDULE | complete
#
# 041_IL_VA_Project_537_17_115_Sterile_Processing.cells.csv — CELL-tier ground truth.
# HELD OUT, second sample — drawn by seed 770231 from the 162 keyed tables
# holding 12-130 cells that the first sample had not taken. Every cell read off
# a render of the table and checked against what the extractor returned; where
# the two differed the RENDER decided. 277 of 277 matched.
#
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
sheet,table_title,row,col,text
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,0,0,ELECTRIC DOMESTIC WATER HEATER SCHEDULE
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,0,TAG
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,1,SERVICE
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,2,LOCATION
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,3,VOLUME (GAL)
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,4,RECOVERY RATE (GAL/HR) / TEMP. RISE (°F)
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,5,ELECTRICAL DATA
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,7,TANK DIMENSIONS (IN.)
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,1,8,NOTES
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,2,5,ELEMENT (KW)
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,2,6,VOLTAGE (V / PH / HZ)
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,0,40-HWH-02
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,1,MEDIVATOR
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,2,ROOM 1578A
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,3,6
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,4,5.3 / 100
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,5,1.3
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,6,120/1/60
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,7,D15XH20.5
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,3,8,1
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#17,ELECTRIC DOMESTIC WATER HEATER SCHEDULE,4,0,NOTES: 1. PROVIDE DRAIN PAN TO THE HEATER.
