sheet,tag,role,in_table,note
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,A-111-3,plan,false,This sheet's own drawing number - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,W1,plan,false,"Wall-type tag on a partition (points to a wall assembly, not equipment) - excluded"
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,X10,plan,false,Grid line bubble - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,X11,plan,false,Grid line bubble - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,X12,plan,false,Grid line bubble - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,X13,plan,false,Grid line bubble - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#10,X14,plan,false,Grid line bubble - excluded
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#16,40-COM-1,plan,false,"Unique instance equipment tag for an instrument air compressor. Drawn with a leader arrow pointing at a small rectangular equipment box symbol on the THIRD FLOOR PLUMBING PLAN, paired with keynote bubble '06' (key note 06 = 'PROVIDE INSTRUMENT AIR COMPRESSOR WITH 4"" CONCRETE PAD'). Confirmed via zoomed crop showing box glyph + leader + underlined '40-COM-1' text plus separate hexagon keynote '06'."
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#16,40-ET-02,plan,false,"Unique instance equipment tag for an expansion tank, paired with 40-HWH-02 in the same single leader note described above (same location/leader). Listed separately since it names a distinct physical unit."
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#16,40-HWH-02,plan,false,"Unique instance equipment tag for a domestic water heater. Appears once, in an underlined leader note at the top of the FIRST FLOOR DOMESTIC WATER PIPING PLAN reading '40-HWH-02 AND 40-ET-02, SEE DETAIL #2 ON DRAWING P-601-3 (TYP.)', with a leader arrow pointing down into the piping/equipment area near the scope-reprocessing sink line. Not itself drawn as a box glyph on this sheet (the referenced unit is detailed on P-601-3), but it is a real, specific-equipment identifier drawn on the plan with a leader, not a keynote or room number."
041_IL_VA_Project_537_17_115_Sterile_Processing.pdf#16,CO,plan,false,"Repeatable cleanout fixture tag, drawn directly beside small quarter-circle/elbow cleanout glyphs on the sanitary waste and vent piping; 6 raw occurrences on the FIRST FLOOR SANITARY WASTE AND VENT PIPING PLAN. Two-letter abbreviation rather than a hyphen-number tag, but it is a genuine short identifier naming a real plumbing fixture (cleanout) attached to a drawn symbol, not a keynote/room/dimension/sheet number, so included as a repeatable type mark, listed once. Flagging this one as the closest-to-borderline call on this sheet."
