sheet,table_title,x0,top,x1,bot,provenance
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,"AIR DEVICE SCHEDULE (SUPPLY, RETURN, EXHAUST)",2320.4,1257.4,2927.5,1504.6,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,AIR FLOW MEASURING DEVICE SCHEDULE,1437.6,756.2,1852.1,1094.3,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,CHILLED WATER AIR HANDLER SCHEDULE - VA SET,934.3,117.8,2930.5,221.4,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,FAN SCHEDULE - VA SET,1888.1,756.2,2927.5,1014.7,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,HVAC DESIGN DATA,1438.3,1130.3,1852.1,1278.0,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,KITCHEN HOOD SCHEDULE - VA SET,2155.3,1050.7,2927.5,1221.4,re-verified after the title-band/area-cap fix; bottoms confirmed at 1.6-2.2x — the NOTES row is INSIDE the table border and the earlier 0.8x acceptance had cut it off
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf,INDEX OF DRAWINGS - VA SET,3021.62,2553.38,3835.12,3670.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf,INDEX OF DRAWINGS - VCS SET,3907.12,2553.38,4735.38,3722.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#6,FOOD SERVICE EQUIPMENT SCHEDULE,2109.38,3037.25,3748.88,3657.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#8,MECHANICAL ABBREVIATIONS,3398.38,1740.38,3941.62,2909.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#8,SHEET LIST - MECHANICAL - VA SET,3332.12,3001.38,4054.62,3374.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
