sheet,tag,role,in_table,note
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,B-1,plan,false,boiler feed/label symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,B-2,plan,false,boiler feed/label symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,B-3,plan,false,boiler feed/label symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,BOILER #1,plan,false,boiler unit symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,BOILER #2,plan,false,boiler unit symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,BOILER #3,plan,false,boiler unit symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,BOILER #4,plan,false,boiler unit symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-1,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-2.1,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-2.2,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-3.1,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-3.2,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EV-4,plan,false,valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EXISTING PRV-1,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EXISTING PRV-2,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,EXISTING PRV-3,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,HX-1,plan,false,heat exchanger symbol (box) on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,HX-2,plan,false,heat exchanger symbol (box) on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,HX-3,plan,false,heat exchanger symbol (box) on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,HX-4,plan,false,heat exchanger symbol (box) on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,MUA-1,plan,false,makeup air unit / PRV skid box on steam riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,PRV-19A/B,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,PRV-22A/B,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,PRV-24A/B,plan,false,pressure reducing valve symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-01,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-02,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-03,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-04,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-05,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-06,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-1,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,ST-2,plan,false,steam trap symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,T-1,plan,false,trap/drip-leg symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,T-15,plan,false,trap/drip-leg symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,T-17,plan,false,trap/drip-leg symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,T-2,plan,false,trap/drip-leg symbol on riser diagram
044_NY_VA_Project_528A8_17_805_Replace_Main_Boilers.pdf#1,T-6,plan,false,trap/drip-leg symbol on riser diagram
