# 045_FL_VA_Project_516_21_107_EHRM_Infrastructure.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260926 (reports/assemblies/tier2/01-split.json); transcription: reports/assemblies/key-work/045_FL_VA_Project_516_21_107_EHRM_Infrastructure.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M501 (page 21) of the VA Lee County HCC EHRM infrastructure upgrades, Cape Coral FL (Toland Mizell Molnar), the table the second tier's seed drew for its FCU stratum.
#   045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21 | CHILLED WATER FAN COIL UNIT SCHEDULE | FCU | all 9 printed rows | render: page 21 title and notes crop 1320,600,860,120 at 3x; crop 1320,715,860,230 at 3x in 2 tiles (MARK column repeated); second read at 4x (crops 1320,780,860,48 and 1320,822,860,32 and 1320,900,860,48) of FCU1-1-1, FCU1-3-4, FCU1-5-3, FCU1-7-2, FCU2-6-19, FCU3-1-17 and FCU4-1-24, every cell
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Layout basis (manufacturer, model), outside air, external static pressure, sensible capacity, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 045_FL_VA_Project_516_21_107_EHRM_Infrastructure: 1 table(s), 9 instance(s), 270 keyed attribute value(s) (63 printed, 207 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,building,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,floor,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,area_served,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,qty,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,pipes,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,cfm,1000,cfm,AIR SIDE / SUPPLY AIR (CFM),
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,motor_hp,,hp,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,fan_speeds,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,ecm,,,,not printed
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,cooling_type,chw,,TABLE TITLE,"title 'CHILLED WATER FAN COIL UNIT SCHEDULE'; every row prints the COOLING COIL block (FLOW (GPM), MAX PD (FT-H2O))"
045_FL_VA_Project_516_21_107_EHRM_Infrastructure.pdf#21,CHILLED WATER FAN COIL UNIT SCHEDULE,FCU1-1-1,FCU,chw_gpm,6.9,gpm,COOLING COIL / FLOW (GPM),
