# 047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.tables.csv — RECALL-tier ground-truth key for
# mcp/scripts/table-recall-eval.mjs.
#
# Authored 2026-09-05 by rendering the sheet full-page with PyMuPDF and reading
# every schedule table by eye, then taking the exact title strings from the
# page's own text layer so nothing here is a transcription. NOTHING comes from
# the pipeline's own output.
#
# Scope: sheet 21 (M-801 MECHANICAL SCHEDULES) only. Not a full-document key.
#
# The note column is a FLAG, not prose: the only value it carries is
# "unruled", meaning the table is drawn with no ruling at all and no vector
# method can reach it. Prose belongs in these header comments — a scorer that
# tests for a substring must not trip over an explanation.
#
# Counted as a table: a titled, ruled, repeating-grid schedule. NOT counted:
# legends and symbol/abbreviation keys, notes blocks (even ruled ones),
# indented spec prose under a heading, untitled tables (this tier matches on
# title), and the sheet's own name printed in the title block — "Drawing Title:
# MECHANICAL SCHEDULES" is what the sheet is called, not a table on it.
#
# MECHANICAL SCHEDULES is the Drawing Title field of the VA title block.
sheet,table_title,note
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,BUFFER TANK SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,AIR DEVICE SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,AIR COOLED WATER CHILLER SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,PUMP SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,PLUMBING FIXTURE SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,EXPANSION SYSTEM SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,HEAT TRACE SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,GLYCOL MAKEUP SYSTEM SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,VRF INDOOR UNIT SCHEDULE,
047_NC_VA_Project_558_22_172_Replace_Chillers_in_AHU.pdf#21,VRF OUTDOOR UNIT SCHEDULE,
