sheet,tag,role,in_table,note
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,B-1(E),plan,false,"Hexagon tag, drawn gray (existing/to remain), on lowest of three stacked existing boiler equipment symbols, left side of plan."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,B-2(E),plan,false,"Hexagon tag, gray, on middle existing boiler symbol."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,B-3(E),plan,false,"Hexagon tag, gray, on top existing boiler symbol."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CHP-1,plan,false,"Hexagon tag on first new chilled water pump, row of 5 (keynote 4)."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CHP-2,plan,false,Hexagon tag on second chilled water pump.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CHP-3,plan,false,Hexagon tag on third chilled water pump.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CHP-4,plan,false,Hexagon tag on fourth chilled water pump.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CHP-5,plan,false,Hexagon tag on fifth chilled water pump.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CT-1,plan,false,"Hexagon tag on first (leftmost) cooling tower cell, new stainless upper section per keynote 9."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CT-2,plan,false,Hexagon tag on second cooling tower cell.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CT-3,plan,false,Hexagon tag on third cooling tower cell.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CT-4,plan,false,Hexagon tag on fourth cooling tower cell.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CT-5(E),plan,false,"Hexagon tag, drawn in gray (existing, to remain) on fifth cooling tower cell, rightmost of the row -- distinct physical unit not covered by keynote 9's CT-1..4 list."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CWP-1,plan,false,"Hexagon tag on first new condenser water pump, row of 5 (keynote 8). Same tag repeats in the 'NEW CONDENSER WATER PUMP SECTION DETAIL' (view 3, same sheet), which shows the same 5 physical pumps -- counted once here."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CWP-2,plan,false,Hexagon tag on second condenser water pump; also shown in detail view 3.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CWP-3,plan,false,Hexagon tag on third condenser water pump; also shown in detail view 3.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CWP-4,plan,false,Hexagon tag on fourth condenser water pump; also shown in detail view 3.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,CWP-5,plan,false,Hexagon tag on fifth condenser water pump; also shown in detail view 3.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,DDC-B2-FTHL,plan,false,"Existing JCI DDC controls panel, named via leader line pointing to a small rectangular panel glyph near the water-softener piping ('EXISTING JCI DDC PANEL ""DDC-B2-FTHL"" (TO REMAIN)'). Included as a controls-panel equipment tag with a leader to a drawn glyph; borderline case flagged for reviewer judgment. A second panel name, 'DDC-B2-LTHW', appears only inside keynote 15's paragraph text (no leader/glyph on the plan) and was excluded as narrative, not a plan callout."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,DWP-2(E),plan,false,"Hexagon tag, gray (existing domestic water pump), between WS-1(E) and the tank/boiler cluster."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,HE-1,plan,false,Hexagon tag on new heat recovery heat exchanger symbol (keynote 1).
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,LV-1,plan,false,"Hexagon tag on louver symbol, top-left of plan (new louver in removed window location per keynote 3)."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,LV-2,plan,false,Hexagon tag on second louver symbol adjacent to LV-1.
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,T-1,plan,false,"Hexagon tag (solid/new) on new condensate return/surge tank, near '6""o STM-V' label (keynote 6)."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,T-2(E),plan,false,"Hexagon tag, gray (existing), on a separate small tank symbol near HE-1, distinct from new T-1."
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,WS-1(E),plan,false,Hexagon tag on existing water softener train (piping being replaced per keynote 16).
04_NV_VA_LasVegas_CentralUtilityPlant.pdf#37,WS-2,plan,false,Hexagon tag on new water softener train installed in removed filter system location (keynote 15).
