sheet,tag,role,in_table,note
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,SB-1-26,plan,false,"Pointed-hexagon callout on ductwork/box symbol near a sound-attenuator/boot unit, verified visually in crop; matches pipeline hint family SB-1"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-20,plan,false,"Pointed-hexagon callout on ductwork, unique terminal unit instance"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-21,plan,false,"Pointed-hexagon callout on ductwork, unique terminal unit instance"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-34,plan,false,"Pointed-hexagon callout on ductwork, near bottom of sheet"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-52,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-60,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-61,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-62,plan,false,"Pointed-hexagon callout on ductwork, verified visually in crop"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-63,plan,false,"Pointed-hexagon callout on ductwork, verified visually in crop"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-64,plan,false,"Pointed-hexagon callout on ductwork, verified visually in crop"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-65,plan,false,"Pointed-hexagon callout on ductwork, verified visually in crop"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-66,plan,false,"Pointed-hexagon callout on ductwork, verified visually in crop"
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-67,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-68,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-69,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-70,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-71,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-72,plan,false,Pointed-hexagon callout on ductwork
053_VA_Renovate_Expand_Emergency_Room_System_VA.pdf#6,TU26-73,plan,false,"Pointed-hexagon callout on ductwork, near bottom of sheet"
