sheet,tag,role,in_table,note
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#2,CM,detail,false,"Legend call-out 'SYMBOL: CM' next to Detail 9 (Continuity Monitor) isometric drawing on a details sheet (M-5003). Not a schedule row, not drawn on any plan/floor-plan view."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#2,TC,detail,false,Legend call-out 'SYMBOL: TC' next to Detail 7 (Ambient Temperature Thermostat Wiring Diagram) on the same details sheet. No plan view present.
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#2,TP,detail,false,Legend call-out 'SYMBOL: TP' next to Detail 10 (Ambient Thermocouple Junction Box and Probe) on the same details sheet. No plan view present.
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,AHU-PHARMACY-1,schedule,true,Unique instance row in the Air Handling Unit Schedule table (sheet 200-MH6000). No plan view on this page; sheet is pure schedule tables.
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CD1,schedule,true,"Repeatable diffuser type mark, one row in the Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CD2,schedule,true,"Repeatable diffuser type mark, Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CD3,schedule,true,"Repeatable diffuser type mark, Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CD4,schedule,true,"Repeatable diffuser type mark, Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CG-1,schedule,true,"Repeatable ceiling grille type mark, Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,CG-2,schedule,true,"Repeatable ceiling grille type mark, Air Inlets/Outlets Schedule table."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,EF-2A,schedule,true,Unique instance row in the Fan Information table (Mark Information section) on the same schedules sheet.
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,H-1,schedule,true,"Unique instance row in the Humidifier Schedule table, same sheet."
056_NY_VA_Project_632_19_106_Renovate_Pharmacy_Spaces.pdf#3,P-1,schedule,true,Unique instance row (AHU-Pharmacy-1 freeze protection pump) in the Pump Schedule table.
