sheet,tag,role,in_table,note
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,AHU-26,plan,false,"Real, extractable PDF text (confirmed via textSpans, x0=2472.6,y0=2454.9). Printed as the 3rd line of a room-label stack ('FAN ROOM #11 / MECH. ROOM / AHU-26') directly inside the hatched Fan Room #11 / mechanical-room enclosure on the Basement Floor plan. This is the single cleanest, indisputable equipment tag on the whole document -- an Air Handling Unit number drawn on its own equipment room glyph, exactly matching the AHU-A2 example pattern. The pipeline's zero-tag census entirely missed this."
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 1,plan,false,"Callout box 'D-119 / Control Panels:' near a hatched equipment/electrical room, First Floor. Same literal also reused inside a separate 'D-119a / Control Panels:' box a short distance away (likely a copy/paste labeling slip -- D-119a's panels probably should read 'D119a'); listed once."
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 2,plan,false,"Duplicated between the D-119 and D-119a boxes, same as CP D119 H 1."
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 3,plan,false,Duplicated between the D-119 and D-119a boxes.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 4,plan,false,Only in the D-119 box.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 5,plan,false,Only in the D-119 box.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 H 6,plan,false,Only in the D-119 box.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP D119 S 1,plan,false,Only in the D-119 box; last line.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP E11a H 1,plan,false,"Callout box 'E-11a / Control Panels:' with leader line to the Switch Gear E-11 / Office E-11a area, Basement Floor."
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP E11a H 2,plan,false,Same E-11a callout box.
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP E26 H 1,plan,false,"Callout box 'Chiller Plant (E-26) / Control Panels:' pointing near the Boiler Plant/Service Room area. NOTE: the exact same literal 'CP E26 H 1' also appears in a second, separate callout box labeled 'Chiller Plant (E-26b)' elsewhere on the same sheet -- almost certainly a drawing labeling error (E-26b's panels should probably read 'E26b'), listed once here per instructions."
057_US_VA_Project_626_15_106_Upgrade_Energy.pdf#4,CP E26 H 2,plan,false,Same duplicate-literal situation as CP E26 H 1 (appears in both the E-26 and E-26b boxes).
