sheet,tag,role,in_table,note
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#23,AC-28,plan,false,"Rooftop AHU box being demolished (sheet title 'DEMOLITION, AC-28 ROOF ENLARGED PLANS'); labeled directly on the hatched removal area, keyed note 7 ('REMOVE AC-28...') points to it. Unique instance."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#23,CU-28,plan,false,"Condensing unit box on the 3rd floor roof plan, hatched for removal; keyed note 8 references it. Unique instance."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#23,EF-1,plan,false,Exhaust fan symbol box drawn on the 3rd-floor roof plan. Unique instance.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#23,EF-2,plan,false,Exhaust fan symbol box drawn on the 3rd-floor roof plan. Unique instance.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV,plan,false,"Literal tag text '1-VAV' with NO numeric suffix, drawn with its own leader arrow directly to a VAV-box symbol. Verified by cropping and zooming on all 10 occurrences on this sheet (distinct physical boxes at 10 different plan locations, e.g. near rooms C130/C131, D131/H131, H133/C125, D133, C122A/C128, H128, H126, and two adjacent ones near a corridor/thermostat cluster) — every single one shows exactly 'underline 1-VAV' with an arrowhead terminating at a real VAV terminal-unit glyph, and NONE has a hidden/cut-off digit. This is a genuine drafting gap (an unpopulated tag-number attribute) rather than an OCR/extraction artifact — the PDF text itself reads '1-VAV' with nothing after it. Because the literal string is identical across all 10 occurrences, it is listed once per the repeatable-mark rule, but note these almost certainly represent 10 additional distinct physical VAV boxes beyond the 18 fully-numbered ones (1-VAV-1 .. 1-VAV-18), for a likely total of ~28 physical VAV terminal units on this floor."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-1,plan,false,Hexagonal VAV box callout with leader to terminal unit symbol; also appears a second time near a duct branch takeoff for the same physical unit (counted once).
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-10,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-11,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-12,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-13,plan,false,"Appears twice (text split across separate PDF text runs as '1'/'-'/'VAV-13' at one location, merged '1-VAV-13' at the other)."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-14,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-15,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-16,plan,false,Appears twice (one instance split as '1'/'-'/'VAV-16').
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-17,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-18,plan,false,Appears twice (one instance split as '1'/'-'/'VAV-18').
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-2,plan,false,"Appears twice on sheet (box callout + branch label), same physical unit, counted once."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-3,plan,false,Appears twice (box callout + branch label).
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-4,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-5,plan,false,"Single occurrence, box callout with leader."
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-6,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-7,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-8,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#25,1-VAV-9,plan,false,Appears twice.
05_MO_VA_StLouis_AHU_VAV_Replacement.pdf#27,FCUC-A,plan,false,"Fan coil unit cabinet type tag; drawn inside a square glyph with a leader arrow, repeated at ~5 distinct locations on this floor plan (e.g. near A652/bed rm, A660A, office, corridor). Same literal tag legitimately labels multiple physical FCUC-A units, so listed once as a repeatable type mark. Keyed note 1 ('RECONNECT EXISTING DUCTWORK TO NEW FAN COIL UNIT ABOVE CEILING') confirms these are fan coil units."
