sheet,table_title,x0,top,x1,bot,provenance
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,AIR/DIRT SEPARATOR SCHEDULE,582.2,1489.6,1349.6,1584.6,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,"BID ALTERNATE #1 CUSTOM OUTDOOR, HEAT RECOVERY UNIT SCHEDULE",990.7,649.6,2731.4,744.8,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,BID ALTERNATE #1 WATER-TO-WATER HEAT PUMP/CHILLER SCHEDULE,1283.8,1004.4,2731.1,1099.7,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,BID ALTERNATE #2 EXHAUST FAN SCHEDULE,465.6,1346.6,1349.6,1430.9,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,CUSTOM AIR HANDLING UNIT SCHEDULE (CONT.),213.4,364.3,752.5,589.2,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,CUSTOM OUTDOOR AIR HANDLING UNIT SCHEDULE,213.4,74.2,2731.1,339.5,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,EXPANSION TANK SCHEDULE,1507.3,1395.1,2731.1,1514.2,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,FAN COIL UNIT SCHEDULE,1706.0,1880.8,2731.1,1976.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,HUMIDIFIER SCHEDULE,1091.4,845.2,2731.1,940.4,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,HYDRONIC PUMP SCHEDULE,1455.5,1175.3,2743.1,1346.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,SHELL AND TUBE HEAT EXCHANGER SCHEDULE,283.6,1175.3,1349.6,1271.5,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,STEAM TRAP SCHEDULE,702.4,1653.4,1349.6,1747.4,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
061_IA_Ames_Laboratory_Harley_Wilhelm_Hall_Building.pdf#58,VARIABLE VOLUME SUPPLY TERMINAL UNIT SCHEDULE,1569.0,1578.8,2731.1,1791.5,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
