sheet,tag,role,in_table,note
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,CUH-3,plan,false,"Written as ""(E) CUH-3"", underlined callout directly above an existing cabinet unit heater symbol (rectangular unit against wall) near the Vestibule. Unique instance mark (existing equipment)."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,DU-1,plan,false,"Underlined ""DU-1"" callout with leader to a rectangular unit symbol on the duct riser near the Extruder Room. Unique instance mark. Hexagon '2' beside it is an unrelated keynote reference."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,EF-4,plan,false,"Written as ""(E) EF-4"", underlined callout next to an existing inline exhaust-fan/damper symbol on a round duct run. Unique instance mark. Keynote bubble '3' beside it is a separate keynote reference, not part of the tag."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,FU-1,plan,false,"Underlined ""FU-1"" callout directly above a rounded fan-shaped equipment symbol near the Extruder Room. Unique instance mark. Hexagon '1' beside it is an unrelated keynote reference."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,R-3,plan,false,"Rounded-box callout ""R-3"" over CFM value ""80"", sitting directly on a duct register symbol near the Wet Room. Repeatable diffuser/register type mark (appears once on this sheet)."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,S-3,plan,false,"Rounded-box callout ""S-3"" over CFM value ""80"" with leader to a supply diffuser symbol; the same tag+value recurs on this sheet (main plan near Wet Room, in the hatched 'NOT IN SCOPE' area, and again in the small 'SECTION AT NEW DUCTWORK' detail view) — all one repeatable type mark, listed once."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,VAV-105,plan,false,"Written as ""(E) VAV-105"", underlined callout above an existing VAV box symbol in the ceiling void near the Wet Room. Unique instance mark."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#10,VAV-106,plan,false,"Written as ""(E) VAV-106"", underlined callout above an existing VAV box; shown both in the main plan and again in the small section detail at bottom right (same physical unit, listed once). Unique instance mark."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#21,DU-1,plan,false,"Underlined ""DU-1"" above the same duct-heater/unit symbol seen on page 10, with circuit number 'D-28' and mounting height '+96"" AFF' noted beneath. Unique instance mark; D-28 is a circuit number, excluded."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#21,FU-1,plan,false,"Underlined ""FU-1"" directly above the same fan-unit equipment symbol seen on the mechanical sheet (M101/page 10), here with its electrical circuit number 'D-30' noted beneath it. Unique instance mark; D-30 is a Panel-D circuit number, not part of the tag."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#21,PANEL D,plan,false,"Written as ""(EX) PANEL D"", leader line to an existing electrical panel symbol (tall hatched rectangle) on the wall between Office 132B and the corridor. Unique instance mark for an existing electrical panel."
063_MT_Harrison_Hall_Extruder_Lab_132_Renovation.pdf#21,PANEL F,plan,false,"Written as ""(EX) PANEL F"", leader line to a second existing electrical panel symbol on the same wall, just below Panel D. Unique instance mark."
