# # coverage: GRILLE SCHEDULE | complete
# coverage: PCW EXPANSION TANK SCHEDULE | complete
#
# 067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.cells.csv — CELL-tier ground truth, HELD OUT.
#
# These tables were not chosen. They were drawn by seed 9051 from the 168 keyed
# tables holding between 12 and 130 cells, so the sample cannot be the easy ones
# or the ones already fixed. Every cell was then read off a render of the table
# at 2-4x and checked, cell by cell, against what the extractor returned; where
# the two differed the RENDER decided.
#
# It differed once, and that is what the tier is for: 014_MT#4 PUMP SCHEDULE
# holds a REMARKS list beside an ELECTRICAL DATA note, and reading the cell line
# by line spliced the second into the middle of the first —
#   "... HOUSEKEEPING PAD UNDER EACH PUMP ELECTRICAL DATA: 2. PROVIDE VFD ..."
# 25 of the 175 multi-line cells in this corpus are set that way. See
# celltext._side_by_side_blocks.
#
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
sheet,table_title,row,col,text
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,0,0,GRILLE SCHEDULE
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,0,MARK NUMBER
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,1,MAX AIRFLOW (CFM)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,2,DESIGN AIRFLOW (CFM)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,3,AIR VELOCITY (FPM)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,4,FACE SIZE IN (WXH)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,5,"CONNECTION SIZE, IN (WXH)"
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,6,MAX STATIC PRESS DROP (IN WG)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,7,MAX NC
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,8,MOUNTING LOCATION
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,9,MATERIAL
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,10,FINISH
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,11,BASIS OF DESIGN
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,1,12,NOTES
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,0,RG-1
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,1,1555
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,2,1410/1415
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,3,450
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,4,30X16
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,5,30X16
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,6,0.08
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,7,25
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,8,DUCT
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,9,STEEL
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,10,#26 WHITE
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,11,TITUS 350RL
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,2,12,(1)-(2)
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,GRILLE SCHEDULE,3,0,NOTES: 1. PROVIDE VOLUME DAMPER IN DUCT PRIOR TO GRILLE CONNECTION. 2. AIRFLOW TO BE AS DESIGNATED ON THE HVAC DUCT ROUTING FLOOR PLAN.
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW EXPANSION TANK SCHEDULE,0,0,PCW EXPANSION TANK SCHEDULE
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW EXPANSION TANK SCHEDULE,1,0,MARK
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW EXPANSION TANK SCHEDULE,1,1,MFR AND MODEL NUMBER
067_CA_SLAC_LCLS_II_HE_Process_Cooling_Water_Skid.pdf#8,PCW EXPANSION TANK SCHEDULE,1,2,PART NUMBER
