# 069_ID_ITD_District_2_Laboratory_Heating_Upgrades.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260923 (reports/assemblies/01-split.json); transcription: reports/assemblies/key-work/069_ID_ITD_District_2_Laboratory_Heating_Upgrades.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M3.0 (page 5) of the ITD District 2 laboratory heating system upgrades (Musgrove Engineering), the tables drawn for this document.
#   069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5 | NEW PUMP SCHEDULE | PUMP | all 6 printed rows | render: page 5 crop 1272,372,985,330 at 3x in 2 tiles (SYMBOL column repeated), remarks crop 1272,698,600,110 at 3x and VFD schedule crop 155,665,1080,150 at 3x; second read of HWP-1 flow, BP-2 HP and CWP-2 RPM
#   069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5 | EXISTING CONDENSING HOT WATER BOILER SCHEDULE | BOILER | all 2 printed rows | render: page 5 crop 155,372,1080,200 at 3x in 2 tiles (SYMBOL column repeated) and remarks crop 150,562,760,80 at 3x; second read at 4x (crop 600,372,270,200) of B-1(E) input MBH, B-2(E) output MBH and B-2(E) boiler flow
#   069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5 | EXISTING AIR HANDLING UNIT SCHEDULE | AHU | the 1 printed row | render: page 5 crop 155,135,2100,150 at 3.5x in 5 tiles (SYMBOL column repeated) and remarks crop 150,283,760,80 at 3x; second read at 4x (crops 370,135,175,150 and 1480,135,150,150 and 1960,135,110,150) of supply CFM, supply HP/QTY, heating-coil GPM and min O.S.A. CFM
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturer/model, weight, minimum efficiency and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 069_ID_ITD_District_2_Laboratory_Heating_Upgrades: 3 table(s), 9 instance(s), 165 keyed attribute value(s) (87 printed, 78 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,building,,,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,floor,,,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,area_served,HOT WATER LOOP,,AREA SERVED,
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,qty,,,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,service,,,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,gpm,80,gpm,CAPACITY / FLOW (GPM),
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,head_ft,40,ft,CAPACITY / HEAD (FT),
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,motor_hp,2,hp,MOTOR / HP,
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,rpm,1725,rpm,MOTOR / RPM,"printed '1,725'"
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,vfd,yes,,TYPE 'INLINE VARIABLE'; VFD schedule PURPOSE,author's reading of the printed row
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,pump_arrangement,,,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,glycol_pct,30,%,NOTE 3,"remark 3, cited by every row: 'CAPACITY BASED ON 70% WATER AND 30% PROPYLENE GLYCOL'"
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,conn_in,,in,,not printed
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,volts,460,V,MOTOR / V/Ø: volts part,author's reading of the printed row
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#5,NEW PUMP SCHEDULE,HWP-1,PUMP,phase,3,,MOTOR / V/Ø: phase part,author's reading of the printed row
