sheet,tag,role,in_table,note
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,AHU-1,plan,false,"Unique instance. Existing AHU-1, hexagon callout pointing to the large air-handler cabinet drawn on the plan."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,AS,plan,false,"Repeatable type mark. Existing air separator hexagon, appears near boiler loop and near chiller/CHW pumps (2 locations per view)."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,B-1,plan,false,"Unique instance. Existing Boiler 1, circular hexagon callout on loft mechanical plan (both demo and new-work views)."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,B-2,plan,false,"Unique instance. Existing Boiler 2, hexagon callout on plan."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,BCV,plan,false,Repeatable/unique-ish. Existing bypass control valve hexagon near boiler return.
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,BP-1,plan,false,"Unique instance. New boiler pump 1, hexagon on new-work plan view (not in demo view)."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,BP-2,plan,false,"Unique instance. New boiler pump 2, hexagon on new-work plan view."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,BT,plan,false,Existing basket-strainer/boiler-trim hexagon near CHW pump bank.
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,CWP-1,plan,false,"Unique instance. New chilled water pump 1, hexagon near existing chiller/pump bank on new-work plan view."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,CWP-2,plan,false,"Unique instance. New chilled water pump 2, hexagon on new-work plan view."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,ET,plan,false,"Repeatable type mark. Existing expansion tank hexagon callout, appears on both demo and new-work views."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,GT,plan,false,"Repeatable type mark. 'GT' hexagons (existing glycol/gauge tank) appear twice per plan view (once near expansion tank, once near CHW pumps) with identical literal text; no distinguishing number is drawn."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,HC,plan,false,"Repeatable type mark, paired with SV each of the 4 occurrences on the plan."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,HWP-1,plan,false,"Unique instance. New hot water pump 1, hexagon on new-work plan view."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,HWP-2,plan,false,"Unique instance. New hot water pump 2, hexagon on new-work plan view."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,L,plan,false,Existing louver hexagon at bottom-left wall opening.
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,M,plan,false,"Motor/motorized-damper box callout at louver opening (per Controls Legend on M4.0, M = MOTOR)."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,SV,plan,false,"Repeatable type mark. Shutoff/solenoid valve hexagon, paired with an adjacent HC hexagon; this exact pair repeats 4 times on the plan (2 unit-heater-like boxes at top, 2 more at mid/lower area)."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,VFD-1,plan,false,"Unique instance. New VFD 1, hexagon on new-work plan view feeding boiler pumps."
069_ID_ITD_District_2_Laboratory_Heating_Upgrades.pdf#3,VFD-2,plan,false,"Unique instance. New VFD 2, hexagon on new-work plan view."
