sheet,tag,role,in_table,note
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#65,DC-1,plan,false,"Storm-drain fitting where the 6"" SD pipe turns and exits through the exterior wall to grade, near the OPS CENTER (room 168) on the P101 Plumbing Plan - New Addition. Labeled 'DC-1' with an underline directly beneath the drawn fitting symbol (elbow + through-wall stub with cap). Confirmed via a zoomed crop (crop 650,1350,300,150 pt, scale 6) showing the pipe symbol and the 'DC-1' label immediately below it. Appears once on this sheet; listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#65,ECO,plan,false,"Exterior clean-out fitting on the 6"" SD storm-drain line where it exits the building near grade (east side of the plan, opposite corner from DC-1). Labeled 'ECO' with a leader line pointing directly at a drawn cleanout-fitting symbol on the pipe. Confirmed via a zoomed crop (crop 1230,1050,220,150 pt, scale 6). This is a plumbing-fixture-type abbreviation (Exterior Clean-Out) rather than a numeric instance mark like 'DC-1' — flagging as borderline: it fits the rule of 'drawn directly on/next to an equipment glyph naming real plumbing equipment' via its leader line, but lacks a numeric suffix, more resembling the pipe-type abbreviations (SD, CW) shown as notation in the legend on sheet 61. Included here because, unlike '6"" SD' (a pipe-size/type label along a run), 'ECO' has a leader pointing at one specific fitting symbol, so it functions as that fitting's tag."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#67,ACU-1,plan,false,"Unique instance mark. Box glyph (hatched rectangle icon) on the exterior gas piping plan, labeled 'ACU-1' directly beneath/on the equipment box; gas line '1 1/2"" G' feeds it. One physical rooftop AC unit."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#67,ACU-2,plan,false,"Unique instance mark. Same box glyph type as ACU-1, fed by '1 1/4"" G' branch. One physical unit."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#67,ACU-3,plan,false,Unique instance mark. Box glyph near the gas valve (circle-with-X symbol) and keynote 'P01'. One physical unit.
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#67,ACU-6,plan,false,"Unique instance mark. Box glyph inside the new addition footprint (heavier/bold outline), adjacent to keynote 'P02'. One physical unit."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#69,ACU-5,detail,false,"Unique instance mark. Labeled directly on the rooftop unit box glyph in the 'ACU5 ELEVATION VIEW' detail (view 2, top of sheet), not on the floor plan itself. One physical unit, appears once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#69,S2,plan,false,"Repeatable type/schedule mark. Same triangular diffuser glyph type as S3 but different CFM value ('70'); appears at 2 locations (Office 138B and the room above it), each next to a keynote 'M06' arrow-box pointing at an existing supply-diffuser connection box. Listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#69,S3,plan,false,"Repeatable type/schedule mark. Drawn on a triangular diffuser/register glyph at 6 distinct duct-end locations in the 'MECHANICAL FLOOR PLAN - AREA A' (view 1), each paired with a CFM airflow value ('200') beneath it. Same literal tag legitimately labels 6 different physical diffusers of the same type; listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,R1,plan,false,"Repeatable return-grille type mark (triangle glyph with CFM value below, e.g. R1/515, R1/840, R1/650, R1/1090). 4 occurrences, listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,R2,plan,false,"Repeatable return-grille type mark, most common register on sheet (offices, corridors, conference rooms, communications, etc.). 11 occurrences, listed once. Each is preceded by an M06/M07 keynote flag box (arrow-shaped, diagonal-line glyph) which is a keynote reference, not part of the tag."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,S1,plan,false,"Repeatable supply-diffuser type mark (triangle glyph with CFM below, e.g. S1/515, S1/420, S1/300). 5 occurrences, listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,S2,plan,false,"Repeatable supply-diffuser type mark, most common diffuser on sheet. 14 occurrences, listed once. One occurrence's raw text extraction merged with a stray overlapping run into the literal string 'TA-S2' at the COMMUNICATIONS 102C diffuser (~pt 1167,1193); visually this glyph reads only 'S2' (confirmed via zoomed crop) so it is counted under S2, not as a separate tag -- likely a leftover/hidden duplicate text object from a CAD edit, not a real distinct label."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,S3,plan,false,"Repeatable supply-diffuser type mark, all in STORAGE/SUPPLY 169 (S3/260 x4). 4 occurrences, listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,T,plan,false,"Repeatable thermostat/sensor symbol (small square box containing 'T'), scattered near VAV boxes and rooms (COMSEC, OPS CENTER, ADMINISTRATION corridor, etc.). 10 occurrences, listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,TA,plan,false,"Repeatable transfer-air grille type mark (triangle glyph, TA/50, TA/30, TA/20) at OPS CENTER/DECON OFFICE/TRAINING AID STORAGE cluster. 2 genuine standalone occurrences of the bare 'TA' text span (a 3rd, TA/50, is captured whole); all 3 visually distinct triangle glyphs are the same TA type mark, listed once."
06_MO_NatlGuard_JeffCity_CST_Addition.pdf#70,VAV-1,plan,false,"Unique VAV terminal box instance, boxed callout with leader near duct branch, OFFICE 161/CIRCULATION 160 area."
