sheet,tag,role,in_table,note
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,ERV A-15,plan,false,"Hexagon tag stacked 'ERV' over 'A-15', leader to a dashed equipment curb footprint; 'MAX OP WT=240#' callout beside it. Unique instance mark (only one ERV on this sheet). Confirmed as equipment (not a grid bubble) by the sheet's own note '...SISTERED JOISTS 11/S700, TYP AT EA END SISTERED JOISTS SUPPORTING ERV A-15'."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-13-1,plan,false,"Hexagon 'FC-A' / '13-1', MAX OP WT=100#."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-17-1,plan,false,"Hexagon 'FC-A' / '17-1', MAX OP WT=100#, next to a 'TYP AT FC' detail-reference bubble (3/S700)."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-18-1,plan,false,"Hexagon 'FC-A' / '18-1', MAX OP WT=100#, near ERV A-15 at top of sheet."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-2,plan,false,"Hexagon tag stacked 'FC-A' over '2', leader to equipment curb footprint, MAX OP WT=100#, near gridline A4/AB."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-20-1,plan,false,"Hexagon 'FC-A' / '20-1', MAX OP WT=100#."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,FC-A-3,plan,false,"Hexagon 'FC-A' / '3', MAX OP WT=100#, tied to a 'SISTER 1 3/4x7 1/4 LVL...UNDER THE UNITS' note near gridline A4/AC."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,SF-A-1,plan,false,"Hexagon tag stacked 'SF-A' over '1' with leader to equipment curb footprint; MAX OP WT=185#. Unique instance — confirmed by sheet note 'SUPPORTING SF-A-1, SF-A-4 & SF-A-7' which spells out the combined hyphenated tag form."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,SF-A-10,plan,false,"Hexagon 'SF-A' / '10', MAX OP WT=185#, near gridline A2/AD."
072_CA_CA07_2627_West_Valley_College_Science_Math.pdf#15,SF-A-11,plan,false,"Hexagon 'SF-A' / '11', MAX OP WT=50# (lighter unit than the others), near gridline A4/AD."
