sheet,tag,role,in_table,note
082_OR_Klamath_Community_College_Career_Learning.pdf#10,CH-1,plan,false,drawn on hydronic sector-A plan next to chiller symbol
082_OR_Klamath_Community_College_Career_Learning.pdf#10,DOAS-1,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,DOAS-3,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-01,plan,false,"unique split-system fan coil, MDF"
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-101,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-102,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-103,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-104,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-105,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-106,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-107,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-108,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-109,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,FC-204,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#10,HP-01,plan,false,drawn next to split heat pump symbol
082_OR_Klamath_Community_College_Career_Learning.pdf#10,MUA-1,plan,false,drawn next to make-up air unit symbol
082_OR_Klamath_Community_College_Career_Learning.pdf#11,DOAS-2,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,DOAS-4,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-02,plan,false,unique split-system fan coil
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-201,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-202,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-203,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-206,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-207,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-208,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-209,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,FC-210,plan,false,unique instance
082_OR_Klamath_Community_College_Career_Learning.pdf#11,HP-2,plan,false,"drawn literally as HP-2, near Fire Riser 167"
082_OR_Klamath_Community_College_Career_Learning.pdf#12,AS-1,plan,false,unique air separator instance
