# 088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260926 (reports/assemblies/tier2/01-split.json); transcription: reports/assemblies/key-work/088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheets B04-RBME0801 and B04-RBME0802 (pages 30 and 31, the RCC station) and B04-ACME0801 (page 246, the central plant building) of the City of Phoenix PHX Sky Train stage 2 design, the tables the second tier's seed drew for its AHU, FCU, FAN, UNIT_HEATER, CONDENSING_UNIT, PUMP, AIR_COOLED_CHILLER and COOLING_TOWER strata.
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30 | AIR HANDLING UNIT SCHEDULE | AHU | all 1 printed row | render: page 30 crop 127,43,873,57 at 4x in 5 tiles (MARK column repeated) and notes crop 127,98,573,82 at 250 dpi; second read at 6x (crop 127,72,873,28) of the row, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30 | CHILLED WATER FAN COIL UNIT SCHEDULE | FCU | all 2 printed rows | render: page 30 crop 287,557,713,91 at 4x in 4 tiles (MARK column repeated), notes included; second read at 6x (crop 287,588,713,30) of both rows, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30 | SMOKE EXHAUST FAN SCHEDULE | FAN | all 4 printed rows | render: page 30 crop 400,187,600,115 at 4x in 3 tiles (MARK column repeated), notes included; second read at 6x (crop 400,232,600,30) of all 4 rows, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30 | ELECTRIC DUCT HEATER SCHEDULE | UNIT_HEATER | all 1 printed row | render: page 30 crop 655,444,345,101 at 4x, notes included; second read at 6x (crop 655,486,345,12) of the row, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#31 | AIR COOLED CONDENSING UNIT SCHEDULE | CONDENSING_UNIT | all 5 printed rows | render: page 31 crop 542,400,446,130 at 4x in 3 tiles (MARK column repeated), notes included; second read at 6x (crop 542,444,446,37) of all 5 rows, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#31 | PUMP SCHEDULE | PUMP | all 2 printed rows | render: page 31 crop 447,138,541,98 at 4x in 3 tiles (Mark column repeated), notes included; second read at 6x (crop 447,182,541,26) of both rows, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#246 | WATER COOLED CENTRIFUGAL CHILLER SCHEDULE | AIR_COOLED_CHILLER | all 3 printed rows | render: page 246 crop 98,181,939,102 at 4x in 5 tiles (MARK column repeated), notes included; second read at 6x (crop 98,214,939,36) of all 3 rows, every cell
#   088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#246 | COOLING TOWER SCHEDULE | COOLING_TOWER | all 3 printed rows | render: page 246 crop 381,38,656,119 at 4x in 4 tiles (MARK column repeated), notes included; second read at 6x (crop 381,68,656,38) of all 3 rows, every cell
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturer/model, weight, maximum/demand-controlled outdoor air, static pressures, sensible capacity and coil air temperatures, fan type, NPSH, pump type, MOP/MCA/MOCP, refrigerant type and charge, efficiencies (kW/ton, IPLV), condenser-water data, evaporator pressure drop and passes, ambient wet bulb, lift, tower airflow and fan count, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX: 8 table(s), 21 instance(s), 403 keyed attribute value(s) (147 printed, 256 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,building,,,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,floor,,,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,area_served,,,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,qty,,,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_cfm,26250,cfm,AIRFLOW (CFM),
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,oa_cfm_min,2000,cfm,MIN. OA (CFM),
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_fan_hp,10,hp,SUPPLY FAN / FAN HP,printed '10.0'
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,supply_fan_qty,6,,SUPPLY FAN / FAN QTY.,
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,return_fan_hp,5,hp,RETURN FAN / FAN HP,
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,exhaust_fan_hp,,hp,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,vfd,yes,,NOTE 6,note 6: 'PROVIDE FACTORY INSTALLED ABB VFD ON THE UNIT. PROVIDE ONE VFD FOR EACH FAN MOTOR.'
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,economizer,airside,,NOTE 5,note 5 (REMARKS cite no note; the table's notes apply to its one unit): 'AIRSIDE ECONOMIZER. FACTORY INSTALLED EBTRON AIR FLOW MEASUREMENT STATIONS FOR OUTSIDE AIR & EXHAUST AIR; AND SUPPLY & RETURN FANS AIR FLOW MONITORS.'
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,outdoor_air_pct,,%,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_type,chw,,CHILLED WATER COIL,"the row prints the CHILLED WATER COIL block (water side EWT 42 / LWT 56, 147.0 GPM)"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_mbh,1027.3,MBH,CHILLED WATER COIL / TOTAL MBH,printed '1027.30'
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,cooling_tons,,tons,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,dx_stages,,,,not printed
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_gpm,147,gpm,CHILLED WATER COIL / GPM,printed '147.0'
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_ewt_f,42,F,CHILLED WATER COIL / EWT (F),
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#30,AIR HANDLING UNIT SCHEDULE,AHU-1,AHU,chw_lwt_f,56,F,CHILLED WATER COIL / LWT (F),
