sheet,tag,role,in_table,note
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#102,FD-1,plan,false,"Floor drain -- type mark, in the same main-plan janitor-closet callout stack as MS-1/WH-1."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#102,FS-2,plan,false,"Floor sink -- type mark, only visible in the enlarged 3D janitor-closet detail inset (not called out separately in the main plan's stack, which shows FD-1 instead)."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#102,MS-1,plan,false,"Mop sink -- schedule-style type mark (repeatable), same physical fixture labeled in the main plan callout stack and shown twice more (from 2 angles) in the 3D enlarged janitor-closet detail on the same sheet; listed once."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#102,WH-1,plan,false,"Water heater -- type mark, labeled in the main plan callout stack and again (same physical unit) in the enlarged 3D janitor-closet detail inset; listed once."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#105,CO,plan,false,"Plumbing roof-plan sheet (RBPL025B, Floor Plan - Roof Level - Area B). 'CO' (cleanout) is printed directly beside two filled-circle cleanout glyphs on the roof-drain/overflow-drain assembly near the left side of the plan (leader-free, text sits right next to the symbol). Same literal repeatable type mark used at both occurrences -> counted once."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#112,FCA,schedule,true,"Appears only once, inside the 'SYMBOL LEGEND' box at the top of the sheet, as the abbreviation key for 'FIRE SPRINKLER SYSTEM CONTROL VALVE ASSEMBLY' next to its icon. Not drawn anywhere on the actual plan view on this page."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#112,FHV,schedule,true,"Same situation as FCA: only appears once, as the legend key for 'FIRE SPRINKLER SYSTEM HOSE VALVE' next to its icon. Not drawn on the plan view on this page."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#114,FCA,plan,false,Boxed 'FCA' label stacked directly under the 'FHV' box at the same combination-standpipe location. Matches legend's 'FIRE SPRINKLER SYSTEM CONTROL VALVE ASSEMBLY'.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#114,FHV,plan,false,"Drawn once on the plan: a small boxed 'FHV' label sits directly next to (stacked above) a boxed 'FCA' label, both pointing via leader-free adjacency at the combination-standpipe symbol in the small mechanical/stair shaft near gridlines 4/00. Matches the legend's 'FIRE SPRINKLER SYSTEM HOSE VALVE' abbreviation."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#115,FCA,plan,false,Boxed 'FCA' label drawn directly on the plan next to the combination-standpipe symbol in the small mechanical shaft near gridlines 3/00 (same visual pattern as page 114).
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#115,FHV,plan,false,Boxed 'FHV' label stacked directly under 'FCA' at the same combination-standpipe location.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#116,FHV,plan,false,"Boxed 'FHV' label drawn on the plan next to a hose-valve door/cabinet glyph in the wall, with a leader to the note 'HOSE VALVE TO BE DETAILED WITH SMITHGROUP'. Confirmed by crop. No accompanying 'FCA' box appears on this particular sheet (unlike 114/115)."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#117,FCA,schedule,true,"Appears only once, inside the SYMBOL LEGEND box, as the key for 'FIRE SPRINKLER SYSTEM CONTROL VALVE ASSEMBLY'. Not drawn anywhere on this sheet's actual plan."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#117,FHV,schedule,true,"Appears only once, inside the SYMBOL LEGEND box, as the key for 'FIRE SPRINKLER SYSTEM HOSE VALVE'. Not drawn anywhere on this sheet's actual plan."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A01,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A02,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A03,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A04,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A05,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4A06,plan,false,"loudspeaker device tag, boxed 'S' glyph with leader to text, unique instance"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C01,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C02,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C03,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C04,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C05,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,LS2-RB4C06,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,SM1-RB4A1,plan,false,"ambient noise sensor device tag, boxed 'M' glyph"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,SM1-RB4B1,plan,false,"ambient noise sensor device tag, standalone 'M' box near JAN/SHAFT area"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,SM1-RB4B3,plan,false,"ambient noise sensor device tag, standalone 'M' box near EB-PGL"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#157,SM1-RB4C1,plan,false,ambient noise sensor device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4A07,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4A08,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4A09,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4A10,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4A11,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4C07,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4C08,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4C09,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4C10,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,LS2-RB4C11,plan,false,loudspeaker device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,SM1-RB4A2,plan,false,ambient noise sensor device tag
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,SM1-RB4B2,plan,false,"ambient noise sensor device tag, standalone 'M' box"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,SM1-RB4B4,plan,false,"ambient noise sensor device tag, standalone 'M' box"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#158,SM1-RBC2,plan,false,"ambient noise sensor device tag; text literally reads SM1-RBC2 (missing '4A' present in sibling tags, likely an as-drawn drafting inconsistency) - transcribed exactly as extracted"
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#159,LS1-RB4B01,plan,false,"Unique instance mark for a recessed-ceiling-mounted loudspeaker (device type 'S' per Sheet Notes 'DEVICE ANNOTATIONS: S, LOUDSPEAKER, RECESSED CEILING MOUNTED'), drawn as a circled 'S' symbol on the reflected ceiling plan with tag text directly beneath it."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#159,LS1-RB4B02,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#159,LS1-RB4B03,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#159,LS1-RB4B04,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#159,LS1-RB4B05,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#16,RBME031A,plan,false,"FALSE POSITIVE (pipeline hint). This is a sheet cross-reference callout text 'REFER TO SHEET RBME031A FOR CONTINUATION' -- a drawing/sheet number, not an equipment tag. Excluded."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,EOL-RB4B1,plan,false,"Distinct unique-instance equipment tag for an End-Of-Line device, printed directly beneath/adjacent to the LS1-RB4B10 loudspeaker's tag text at the same glyph/leader location (confirmed via close-up crop) -- a separate life-safety/controls device (end-of-line resistor/supervisory unit for the notification circuit), not a duplicate of the speaker tag."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,LS1-RB4B06,plan,false,"Unique instance mark for a recessed-ceiling loudspeaker, circled 'S' glyph with tag text beneath, per Sheet Notes Device Annotations."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,LS1-RB4B07,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,LS1-RB4B08,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,LS1-RB4B09,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#160,LS1-RB4B10,plan,false,"Same loudspeaker family, distinct unique instance/location suffix."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#17,AHU-1,plan,false,"Air handling unit box symbol in mechanical room; unique instance (only one AHU on this sheet). Not in the pipeline's hint list for this page, which appears to be a miss by the recognizer."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#17,CU-4,plan,false,Condensing unit tag on outdoor unit box symbol below mechanical room; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#17,CU-5,plan,false,Condensing unit tag adjacent to CU-4; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#17,EDH-1,plan,false,Electric duct heater tag on a rectangular duct symbol; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#17,FCU-1,plan,false,Fan coil unit tag in mechanical room; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,CU-1,plan,false,Condensing unit tag at bottom of sheet (near matchline to RBME021A); unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,CU-2,plan,false,Condensing unit tag; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,CU-3,plan,false,Condensing unit tag; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,D1,plan,false,"Repeatable diffuser/register type tag drawn next to duct branch symbols with CFM callouts; appears twice on this sheet (D1/400 near UPS RM branch, and D1/350 TYP.4 near ATC ROOM branch) -- same type tag, listed once per rules for repeatable marks."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,D2,plan,false,Diffuser type tag (D2/160 CFM) next to duct branch near UPS RM.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,D3,plan,false,Diffuser type tag (D3/240 CFM) near roof duct riser.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,D4,plan,false,"Diffuser type tag (D4/700 CFM, TYP.2) near ATC ROOM duct run."
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,FC-1,plan,false,Fan coil unit tag in ATC/UPS mechanical area; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,FC-2,plan,false,Fan coil unit tag near ATS/Electrical Room; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#18,FC-3,plan,false,Fan coil unit tag near Electrical Room; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#19,FC-4,plan,false,Fan coil unit tag near IDF room; unique instance.
088_AZ_Phoenix_Sky_Harbor_International_Airport_PHX.pdf#19,FC-5,plan,false,Fan coil unit tag near Fire Control room; unique instance.
