sheet,tag,role,in_table,note
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,A,plan,false,"Circled single-letter callout paired with duct size + CFM (e.g. 6""ø/145, 6""ø/210, 6""ø/140), with leader to a diffuser/register symbol. Repeats many times across sheet identically -> treated as a repeatable air-terminal/diffuser type mark (analogous to CD-1/RG-1), listed once"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-1,plan,false,"Mini-split/ducted AC unit box symbol, Flight Crew Lounge area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-10,plan,false,"AC unit box symbol, Office 104; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-11,plan,false,"AC unit box symbol, Office 105; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-12,plan,false,"AC unit box symbol, Server room 125; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-2,plan,false,"AC unit box symbol adjacent to AC-1, Flight Crew Lounge; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-3,plan,false,"AC unit box symbol, Flight Crew Quiet Room/Office corridor area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-4,plan,false,"AC unit box symbol, Flight Instructor office area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-5,plan,false,"AC unit box symbol, Student Flight Planning/corridor area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-6,plan,false,AC unit box symbol near Mech room/DOAS-1 riser; unique instance mark
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-7,plan,false,AC unit box symbol near RR Women/Mech room; unique instance mark
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-8,plan,false,"AC unit box symbol, Copy Room/Office 110A area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,AC-9,plan,false,"AC unit box symbol (hexagon-fan icon), Corridor 103 area; unique instance mark"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,B,plan,false,"Circled letter, same convention as 'A', paired with e.g. 12""x14""/880, 8""x6""/145, 10""x8""/300 — repeatable diffuser/register type mark, listed once"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,C,plan,false,"Circled letter, same convention, extremely frequent (6""x4""/20, 6""x4""/70, 6""x4""/25, etc.) — repeatable diffuser/register/grille type mark, listed once"
089_FL_Airport_Terminal_and_Hangar_Development.pdf#129,CU-1,plan,false,Condensing unit symbol on equipment pad next to HP-2; unique instance mark
