# 094_FL_Orange_County_Regional_History_Center_HVAC.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260923 (reports/assemblies/01-split.json); transcription: reports/assemblies/key-work/094_FL_Orange_County_Regional_History_Center_HVAC.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M-401 (page 8) of the Orange County Regional History Center HVAC drawings (Atkins), the tables drawn for this document.
#   094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8 | Cooling Tower Schedule | COOLING_TOWER | all 1 printed row | render: page 8 crop 1865,866,785,110 at 4x in 2 tiles (Mark column repeated) and notes crop 1880,988,760,150 at 3.2x; second read of cells, flow and fan HP
#   094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8 | Air Handling Unit Schedule CHW | AHU | all 5 printed rows | render: page 8 crop 152,72,2495,200 at 4x in 7 tiles (Mark column repeated), notes crops 655,282,580,190 and 1225,282,560,160 and legend crop 150,282,500,140 at 3x; second read of AHU-04 total CFM, AHU-06 heating kW and AHU-08 chilled-water GPM
#   094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8 | Packaged Air Cooled Water Chiller Schedule | AIR_COOLED_CHILLER | all 1 printed row | render: page 8 crop 1620,632,1025,112 at 4x in 3 tiles (Mark column repeated) and notes crop 1640,750,600,70 at 3.2x; second read of capacity tons, GPM and LWT
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Model numbers, weights, head, ambient wet bulb, drive type, fan RPM, duct size, cylinder count, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 094_FL_Orange_County_Regional_History_Center_HVAC: 3 table(s), 7 instance(s), 254 keyed attribute value(s) (98 printed, 156 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,building,,,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,floor,,,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,area_served,,,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,qty,,,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,cells,1,,# Of Cells,
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,tons,,tons,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,gpm,900,gpm,Flow GPM,
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,ewt_f,95,F,Water Temp. / Ent.,
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,lwt_f,85,F,Water Temp. / Lvg.,
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,fan_hp,20,hp,Fan Motor Data / HP,
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,vfd,yes,,NOTE 4,note 4 of the table: 'PROVIDE WITH PREMIUM EFFICIENCY MOTOR AND VARIABLE FREQUENCY DRIVE'
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,conn_in,,in,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,bas_interface,,,,not printed
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,volts,460,V,Volt/ Phase: volts part,author's reading of the printed row
094_FL_Orange_County_Regional_History_Center_HVAC.pdf#8,Cooling Tower Schedule,CT-1,COOLING_TOWER,phase,3,,Volt/ Phase: phase part,author's reading of the printed row
