sheet,tag,role,in_table,note
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,AC-1,plan,false,"Package/AC equipment icon inside CONTROL ROOM (D200), unique"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,DOAS-1,plan,false,"Rounded-rectangle equipment box glyph, dedicated outside air unit, right side of plan; multiple keynotes (8,9,10,11,12) reference it but tag itself is drawn once"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,E12- 70,plan,false,"Type-E12 exhaust register callout, CFM 70, single occurrence, comb-symbol lower-left"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,EG2- 925,plan,false,"Type-EG2 exhaust grille callout, CFM 925, appears 12 times on X-box symbols throughout pod exhaust risers - most frequent repeatable mark on sheet"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,FCU-1,plan,false,"Fan coil unit box glyph, top-right of plan, keynote 13 references installing this FCU"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,M400,plan,false,"Motorized-damper callout (triangular arrow + pentagon tag) on pod exhaust riser ducts; identical literal 'M400' at 4 different physical dampers, always paired with a circled keynote number (1,2,4,15) referencing the general/plan-notes list"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,M801,plan,false,"Motorized-damper callout, same glyph family as M400 but different value, at STAFF RR (D203) exhaust duct penetration, paired with keynote 6"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-1-1,plan,false,Underlined callout with leader arrow to a manual/motorized balancing-damper (X-box) symbol on duct branch serving pod 1 riser 1
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-1-2,plan,false,"Same pattern as PED-1-1, second riser for pod 1"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-2-1,plan,false,"Damper callout, pod 2 riser 1"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-2-2,plan,false,"Damper callout, pod 2 riser 2"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-3-1,plan,false,"Damper callout, pod 3 riser 1 (near VAV-1-3)"
096_IN_Vermillion_County_Jail_Mechanical_Bid_Set.pdf#10,PED-3-2,plan,false,"Damper callout, pod 3 riser 2"
