sheet,tag,role,in_table,note
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,DC-1,plan,false,"Square disconnect-switch symbol labeled DC-1, adjacent to an unlabeled motor circle inside the welding-source-capture enclosure; unique equipment tag. textSpans str='DC-1' x0=1662,y0=2665.5. (An adjacent hexagon '1' is a keyed-sheet-note flag referencing note #1, not a tag -- excluded.)"
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,MDP,plan,false,"Main distribution panel box drawn on the plan inside room 'UTILITY 009', labeled 'MDP' directly on the panel symbol (the existing panel referenced in the scope-of-work note). textSpans str='MDP' x0=2156.2,y0=2365.7."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,MDP-10,plan,false,"Same pattern as MDP-9, for RTU-2's disconnect. textSpans x0=2242.6,y0=2528.7."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,MDP-11,plan,false,"Same pattern, for RTU-3's disconnect. textSpans x0=3261.8,y0=2528.7."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,MDP-12,plan,false,"Disconnect-switch symbol callout for the DC-1 motor inside the odd-shaped welding-source-capture-system enclosure (west of the corridor). textSpans str='MDP-12' x0=1662,y0=2687.3."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,MDP-9,plan,false,"Disconnect-switch symbol (square icon) callout under RTU-1 naming its circuit/panel connection off panel MDP; drawn directly on the disconnect glyph next to the motor circle. textSpans str='MDP-9' x0=1231,y0=2528.7."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,R1A-22,plan,false,"Circuit/panel designation for the SH motor's connection, in the same two-line callout format as the MDP-# labels (equipment/circuit tag pair). textSpans str='R1A-22' x0=1707.8,y0=2623.5."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,RTU-1,plan,false,"Ground-mounted rooftop unit box drawn on plan at bottom-left; unique instance (1 of 3 new RTUs per scope of work). Confirmed via textSpans str='RTU-1' x0=1231,y0=2506.8, directly above its own box symbol."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,RTU-2,plan,false,"Second ground-mounted RTU box, unique instance. textSpans str='RTU-2' x0=2242.6,y0=2506.8."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,RTU-3,plan,false,"Third ground-mounted RTU box, unique instance. textSpans str='RTU-3' x0=3261.6,y0=2506.8."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#1,SH,plan,false,"Motor/fan circle symbol labeled 'SH' (likely source-capture hood fan) inside the same welding-source-capture enclosure; unique equipment tag. textSpans str='SH' x0=1708.3,y0=2601.4, directly beside the circle glyph."
100_OH_Butler_Tech_RTU_Welding_Source_Capture.pdf#5,CU-1,plan,false,"Unique equipment tag drawn on the intake-hood/curb assembly immediately adjacent to RTU-2 (visible as 'CU-1' overlaid on a hatched hood shape). Not found anywhere in textSpans() output — confirmed only by close-zoom visual inspection of the render. No matching CU-2/CU-3 was found near RTU-1 or RTU-3, so this appears to be a single unique instance."
