sheet,tag,role,in_table,note
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,CP-1,plan,false,"Circulating pump 1, unique instance, leader to pump symbol on riser"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,CP-2,plan,false,"Circulating pump 2, unique instance, adjacent to CP-1"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,EES-1,plan,false,"Emergency eyewash/safety-shower station 1, unique instance, leader arrow to combo EW/SS symbol (the 'EW' and 'SS' text are the symbol's own internal labels, not separate tags)"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,EWC-1,plan,false,"Electric water cooler, leader from '4"" CW RISER IN WALL' note to EWC symbol"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,FD 1,plan,false,"Floor drain type mark (literal text is 'FD 1' with a space, not a hyphen), leader to circle floor-drain symbol, 2 instances"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,FH-1,plan,false,"Fixture type mark (floor hydrant / hose bibb) at fume-hood casework edges, 2 instances; small vertical '6'CFH' text inside the adjacent box is a casework (chemical fume hood) width label, not a separate tag"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,FS 1,plan,false,"Floor sink instance near GWH/ST cluster, literal 'FS 1' (space) distinct from the FS-2 type mark used elsewhere on sheet; leader points down toward pump area (adjacent '4 / P-900' text is a detail callout to sheet P-900, not part of the tag)"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,FS-2,plan,false,"Floor sink type mark, boxed X symbol, ~4 instances (Fluid Mechanical Lab, EES area); a bare 'FS' text span sits inside/beside each box as the symbol's internal abbreviation and is not a separate tag from FS-2"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,GWH 1,plan,false,"Gas water heater 1, unique instance, circle symbol in mechanical closet near Stair 2"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,GWH 2,plan,false,"Gas water heater 2, unique instance, same closet"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,L-1,plan,false,"Lavatory type mark, repeated 4x across Men/Women rooms"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,LS-1,plan,false,"Lab sink type mark, drawn at ~8 casework locations across Hydraulics/Fluid Mechanical/Environmental labs"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,MV 1,plan,false,"Mixing valve 1, unique instance, literal 'MV 1' (space), leader to riser assembly"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,SK1,plan,false,"Sink type mark at casework locations, ~8 instances; boxed symbol also carries tiny internal 'SK' abbreviation text, not counted separately"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,ST 1,plan,false,"Storage tank 1 (expansion/storage tank), unique instance, circle symbol below GWH 1/2"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,TP-1,plan,false,"Trap primer type mark, leader arrow to WC-2 fixture group"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,UR-1,plan,false,"Urinal type mark, 1 instance in Men's room"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,UR-2,plan,false,"Urinal type mark, 1 instance in Men's room"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,WC-1,plan,false,"Water closet type mark, repeated 4x (basement restrooms Men/Women) at leader-labeled fixture symbols"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,WC-2,plan,false,"Water closet type mark, repeated 2x"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#108,WHA-1,plan,false,"Water hammer arrestor type mark, leader arrow near WC group"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,AC-1,plan,false,"Air compressor, unique instance; rectangular equipment glyph next to air dryer/receiver, text 'AC-1' underlined"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,AC-2,plan,false,"Air compressor, unique instance; rectangular equipment glyph, text 'AC-2' underlined"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,CP-1,plan,false,"Circulation pump, unique instance; small square glyph on riser stack, text 'CP-1' underlined"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,CP-2,plan,false,"Circulation pump, unique instance; small square glyph, text 'CP-2' underlined"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,EES-1,plan,false,"Emergency eyewash/shower station, repeatable equipment-type mark; square glyph occurs 2x (research lab, instrument room areas) - listed once"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,EWC-1,plan,false,"Electric water cooler, repeatable fixture-type mark (1 occurrence this sheet); rectangular fountain glyph, text 'EWC-1' underlined"
11_CA_SDSU_EngSciences_Complex_100SD.pdf#109,FD-1,plan,false,"Floor drain, repeatable type mark; small circle glyph, tag 'FD 1' recurs 6x across sheet (mech room, RO room, sewage ejector area, testing room area) - listed once"
