# 12_MT_MSU_ReidHall_Renovation.binding.csv — control-evidence binding truth for the CONTROL_INTENT goal (goals/CONTROL_INTENT.md, TRUTH).
# Authored 2026-09-25 by reading the set's controls sheets (PDF text layer and renders), never pipeline output.
# One row per (keyed instance, governing control packet): the control detail, schematic, sequence section or
# points schedule that decides the unit's BAS scope and options. packet_title is the title as printed (a line
# break joined by a space). binding: tag (the packet names the unit's own tag) · list_range (a tag list or range
# that contains it) · cross_reference (a schedule cell or remark points to it) · family_detail (a detail for the
# unit's type, with no tag) · semantic (only meaning connects them, e.g. a component of another unit). packet
# "none": no control packet governs the instance. Population: every instance of keys/12_MT_MSU_ReidHall_Renovation.typicals.csv.
# Project-wide general controls notes are not listed per unit. A key that looks wrong later is catalogued,
# never edited (GOAL_LOOPS ANTI-GAMING).
sheet,tag,family,packet_sheet,packet_title,binding,note
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-1,VAV,12_MT_MSU_ReidHall_Renovation.pdf#27,DUAL DUCT VAV TERMINAL UNIT:,family_detail,sequence A
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-2,VAV,12_MT_MSU_ReidHall_Renovation.pdf#27,DUAL DUCT VAV TERMINAL UNIT:,family_detail,sequence A
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-3,VAV,12_MT_MSU_ReidHall_Renovation.pdf#27,DUAL DUCT VAV TERMINAL UNIT:,family_detail,sequence A
12_MT_MSU_ReidHall_Renovation.pdf#28,VAV-4,VAV,12_MT_MSU_ReidHall_Renovation.pdf#27,DUAL DUCT VAV TERMINAL UNIT:,family_detail,sequence A
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-1,FIN_TUBE_RADIATION,,none,,
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-2,FIN_TUBE_RADIATION,,none,,
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-3,FIN_TUBE_RADIATION,,none,,
12_MT_MSU_ReidHall_Renovation.pdf#28,FT-4,FIN_TUBE_RADIATION,,none,,
12_MT_MSU_ReidHall_Renovation.pdf#28,CUH-1,CABINET_UNIT_HEATER,,none,,
12_MT_MSU_ReidHall_Renovation.pdf#28,CUH-2,CABINET_UNIT_HEATER,,none,,
