sheet,table_title,x0,top,x1,bot,provenance
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,DATA DEVICE SCHEDULE,405.6,565.1,1184.8,699.7,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,FIRE ALARM DEVICES SCHEDULE,405.6,243.7,1183.1,508.8,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,LUMINAIRE SCHEDULE,1262.4,243.7,2291.2,465.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,WIRING DEVICES - MANUAL LIGHTING SWITCH SCHEDULE,1262.4,1173.8,1983.2,1334.8,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,WIRING DEVICES - OCCUPANCY SENSOR AND LOW VOLTAGE LTG CONTROL DEVICE  SCHEDULE,1262.4,865.9,1981.2,1131.1,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,WIRING DEVICES - RECEPTACLE SCHEDULE,1262.4,520.2,1992.1,820.1,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
13_MI_MSU_LifeSciences_LabRenovation.pdf#10,EQUIPMENT SCHEDULE,514.88,463.5,2160.88,763.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#15,ROOM FINISH SCHEDULE,533.5,479.88,2192.88,1052.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#15,DOOR SCHEDULE,2414.75,479.88,4615.5,1094.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.63pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#15,WINDOW SCHEDULE,2414.75,1505.62,4616.75,1664.75,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.07pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#20,PLUMBING FIXTURE SCHEDULE,3058.0,148.75,4086.12,526.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#26,TRANSFER SILENCER SCHEDULE,1546.5,501.0,2606.25,729.5,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.18pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#26,"REGISTER, GRILLE AND DIFFUSER SCHEDULE",2732.25,500.5,4548.88,852.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#28,WIRING DEVICES - OCCUPANCY SENSOR AND LOW VOLTAGE LTG CONTROL DEVICE SCHEDULE,2524.62,1731.75,3962.25,2262.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#30,277V LIGHTING CIRCUIT SCHEDULE,1474.5,611.88,3007.5,801.0,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#32,208/120V CIRCUIT SCHEDULE,984.75,246.5,2456.75,1285.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
13_MI_MSU_LifeSciences_LabRenovation.pdf#32,208/120V CIRCUIT SCHEDULE Copy 1,2548.25,246.5,4020.12,1138.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
