sheet,tag,role,in_table,note
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,CH-1,plan,false,"M311 First Floor Sector A Hydronic plan, chiller symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,DOAS-1,plan,false,"M311 plan, DOAS symbol at riser"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,DOAS-3,plan,false,"M311 plan, DOAS symbol at riser"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-01,plan,false,"M311 plan, split-system indoor unit symbol, MDF room"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-101,plan,false,"M311 plan, fan coil symbol with CHS/CHR/HWS/HWR piping callouts"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-102,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-103,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-104,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-105,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-106,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-107,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-108,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,FC-109,plan,false,"M311 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,HP-01,plan,false,"M311 plan, split-system outdoor unit symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#10,MAU-1,plan,false,"M311 plan, make-up air unit symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,DOAS-2,plan,false,"M312 plan, DOAS symbol at riser"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,DOAS-4,plan,false,"M312 plan, DOAS symbol at riser"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-02,plan,false,"M312 plan, split-system indoor unit symbol, MDF (KCC) room 203"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-201,plan,false,"M312 First Floor Sector B Hydronic plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-202,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-203,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-206,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-207,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-208,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-209,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,FC-210,plan,false,"M312 plan, fan coil symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#11,HP-2,plan,false,"M312 plan, split-system outdoor unit symbol (drawn HP-2, schedule HP-02)"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,AS-1,plan,false,"M320 plan, air separator symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,B-1,plan,false,"M320 plan, boiler symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,B-2,plan,false,"M320 plan, boiler symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,BP-1,plan,false,"M320 plan, primary HW pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,BP-2,plan,false,"M320 plan, primary HW pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,BT-1,plan,false,"M320 plan, buffer tank symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,CH-1,plan,false,"M320 Boiler Room Enlarged plan, chiller box symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,CHP-1,plan,false,"M320 plan, chilled water pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,CHP-2,plan,false,"M320 plan, chilled water pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,HP-01,plan,false,"M320 plan, split-system outdoor unit symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,HP-1,plan,false,"M320 plan, pump symbol near HX-1/HS-1; drawn as HP-1 but schedule has no HP-1 row (Hydronic Pumps schedule has HWP-1/HWP-2 in this location instead) - possible drafting label inconsistency, flagged as literal drawn tag"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,HP-2,plan,false,"M320 plan, pump symbol near HX-1/HS-1; drawn as HP-2, likely same naming inconsistency as HP-1 (probably HWP-2)"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,HS-1,plan,false,"M320 plan, hydraulic separator hexagon symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,HX-1,plan,false,"M320 plan, heat exchanger symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,MAU-1,plan,false,"M320 plan, make-up air unit box symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,SP-1,plan,false,"M320 plan, snowmelt pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#12,SP-2,plan,false,"M320 plan, snowmelt pump symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,B-1,plan,false,"M401 plan, boiler symbol at gas connection"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,B-2,plan,false,"M401 plan, boiler symbol at gas connection"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,MAU-1,plan,false,"M401 Enlarged Gas plan, make-up air unit box symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,WH-1,plan,false,"M401 plan, water heater symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,WH-2,plan,false,"M401 Enlarged Gas Sector B plan, water heater symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#13,WH-3,plan,false,"M401 plan, water heater symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,B-1,schematic,false,"M501 diagram, boiler schematic symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,B-2,schematic,false,"M501 diagram, boiler schematic symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,BP-1,schematic,false,"M501 diagram, primary HW pump schematic symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,BP-2,schematic,false,"M501 diagram, primary HW pump schematic symbol"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,ET-1,schematic,false,"M501 diagram, expansion tank schematic symbol (bottom right, near boilers)"
14_OR_KlamathCC_LearningCtr_Mechanical.pdf#14,ET-3,schematic,false,"M501 diagram, expansion tank schematic symbol (top, snowmelt feed)"
