# 21_VA_OrangeCounty_PublicSafetyBldg.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260926 (reports/assemblies/tier2/01-split.json); transcription: reports/assemblies/key-work/21_VA_OrangeCounty_PublicSafetyBldg.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheets M-601, M-602 and P-601 (pages 50, 51 and 30) and the AV sheet TA001 (page 117) of the Orange County, Virginia public safety building (Wiley|Wilson; Polysonics for the AV sheets), the tables the second tier's seed drew for its VAV, CONDENSING_UNIT, PUMP and FAN strata.
#   21_VA_OrangeCounty_PublicSafetyBldg.pdf#50 | VAV TERMINAL BOX SCHEDULE | VAV | the first 30 printed rows (VAV-1-01 through VAV-1-29, with VAV-1-21A and VAV-1-21B), the draw's cap; VAV-1-30 on and the 25 AHU-2 boxes are not keyed | render: page 50 crop 785,108,1221,734 at 3x in 5 tiles (DESIGNATION column repeated); second read at 4x (crops 900,166,1106,342 and 900,505,1106,337) of all 30 keyed rows, every cell
#   21_VA_OrangeCounty_PublicSafetyBldg.pdf#51 | AIR COOLED CONDENSING UNIT SCHEDULE | CONDENSING_UNIT | the 1 printed column (its DESIGNATION "ACCU-1 AND ACCU-2" names two units, keyed as ACCU-1 and ACCU-2) | render: page 51 crop 1668,88,478,284 at 3x; second read at 4x (crop 1668,118,478,254) of the column, every cell
#   21_VA_OrangeCounty_PublicSafetyBldg.pdf#30 | DOMESTIC WATER BOOSTER PUMP SCHEDULE | PUMP | all 1 printed row | render: page 30 crop 186,1146,1250,126 at 3x in 5 tiles (DESIGNATION column repeated); second read at 4x (crop 186,1200,1250,72) of the row, every cell
#   21_VA_OrangeCounty_PublicSafetyBldg.pdf#117 | (untitled) | FAN | none — an AV notes sheet (TA001): its DEVICE SCHEDULE lists AV floor boxes, flat panel displays, junction boxes, antenna plates, a speaker and a touch panel; no row is a fan | render: page 117 overview at 60 dpi (a 90-degree-rotated sheet, read in its displayed orientation); the DEVICE SCHEDULE cropped at 150 dpi (crop 850,70,1290,305), every row read
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# A line with an empty tag and attribute keys a claimed table that prints no instance of its family: every value reported from it is invented.
# Not counted: Manufacturer/model, air pressure drops, coil air temperatures and the coil's water temperature drop, fan motor counts and FLA, refrigerant, the booster pump's per-pump flow, suction and discharge pressures and expansion tank, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# 21_VA_OrangeCounty_PublicSafetyBldg: 4 table(s), 33 instance(s), 745 keyed attribute value(s) (306 printed, 439 empty), 1 table(s) keyed with no instance of their family
sheet,table_title,tag,family,attribute,value,unit,source_header,note
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,building,,,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,floor,,,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,area_served,,,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,terminal_type,,,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,inlet_size_in,6,in,INLET DIA. INCHES,
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,cfm_max,220,cfm,CFM / DESIGN,
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,cfm_min,80,cfm,CFM / COOL MIN / HEATING: cooling minimum part,author's reading of the printed row
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,cfm_heat,125,cfm,CFM / COOL MIN / HEATING: heating part,author's reading of the printed row
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,heat_type,hw,,"REHEAT COIL DATA: a hot-water coil (E.W.T. 140), or a dash in every cell",printed 'E.W.T. 140'; author's reading of the printed row
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_gpm,0.5,gpm,REHEAT COIL DATA / GPM,printed '0.50'
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_ewt_f,140,F,REHEAT COIL DATA / E.W.T. DEG. F,
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_lwt_f,,F,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_wpd_ft,0.16,ft,REHEAT COIL DATA / Δ P FT. H20,
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_mbh,6.1,MBH,REHEAT COIL DATA / MBH,printed '6.10'
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_rows,2,,REHEAT COIL DATA / ROWS,
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_conn_in,,in,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,hw_glycol_pct,,%,,not printed
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,VAV-1-01,VAV,eh_kw,,kW,,not printed
