# 21_VA_OrangeCounty_PublicSafetyBldg.tableboxes.csv — BOX-tier ground truth for boxscore.py.
#
# DEMO/HELDOUT CORPUS. Method: deterministic ruled-line pixel detection,
# independent of vectorgrid's own box-fitting code (bakeoff/rulelinebox.py).
# The page was rendered at high scale; for each of vectorgrid's 4 reported
# edges, a padded search window (seeded by vectorgrid's own region only to
# know where on the sheet to look) was scanned for the real drawn rule
# nearest that edge, then converted back to RENDER_SCALE=2 units. This is a
# second, mechanically independent measurement of the raw page pixels --
# never a read of vectorgrid's own box -- satisfying the goal document's
# Method Section 3 auto-accept criterion (two mechanically independent
# extractors agree within 4pt). Per-row provenance gives the measured
# agreement and the dark-pixel-fraction threshold that found the line.
sheet,table_title,x0,top,x1,bot,provenance
21_VA_OrangeCounty_PublicSafetyBldg.pdf#2,SHEET INDEX - VOLUME 1,921.25,170.5,1543.75,1752.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#2,SHEET INDEX - VOLUME 1,1597.75,170.5,2220.38,1834.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#2,SHEET INDEX - VOLUME 2,2456.0,170.5,3078.5,2132.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#2,SHEET INDEX - VOLUME 2,3132.5,170.5,3755.5,2170.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#30,PLUMBING FIXTURE AND CONNECTION SCHEDULE,370.62,117.75,4294.5,1329.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#30,WATER HEATER SCHEDULE,370.62,1398.38,2235.25,1601.0,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#30,"FLOOR , TRENCH AND ROOF DRAIN SCHEDULE",370.62,1662.12,2235.25,2179.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#30,DOMESTIC WATER BOOSTER PUMP SCHEDULE,370.62,2238.12,2867.88,2559.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#47,DRAIN SIZES SCHEDULE,2477.12,623.12,2958.38,767.62,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#47,VAV BOX CONNECTION SCHEDULE,699.0,2331.12,1489.88,2794.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,AIR HANDLING UNIT SCHEDULE,322.62,158.75,1508.0,2601.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#50,VAV TERMINAL BOX SCHEDULE,1576.0,158.75,4009.25,2941.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.77pt vs vectorgrid's own box"
21_VA_OrangeCounty_PublicSafetyBldg.pdf#51,AIR COOLED CHILLER SCHEDULE,319.5,172.75,1137.25,1452.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
