sheet,tag,role,in_table,note
21_VA_OrangeCounty_PublicSafetyBldg.pdf#10,AHU-1,plan,false,"Unique instance mark. Underlined equipment tag labeling a distinct rectangular AHU unit outline in the Mechanical Room (D201) on view 2, 'FIRE ALARM MECHANICAL MEZZANINE PLAN'. Confirmed by close crop (textSpans x0=3767,y0=928.8 in scale-2 px)."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#10,AHU-2,plan,false,"Unique instance mark. Second, separate AHU unit outline in the same Mechanical Room, adjacent to AHU-1 but a physically distinct unit (textSpans x0=3238.1,y0=974.2)."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S1,plan,false,"Sprinkler head tag (hexagon callout) next to circle-in-circle pendant/upright sprinkler head glyph, in the 'HYDRAULIC AREA 1' remote-area calc diagram inset within the Evidence Room (B133) on the floor plan. Unique instance mark - each S# labels one specific physical sprinkler head in this remote design area."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S2,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S3,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S4,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S5,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S6,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S7,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S8,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#13,S9,plan,false,"Sprinkler head tag, same diagram as S1."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,BFP,plan,false,"Unique instance. Hexagon callout labeling the backflow preventer assembly on the incoming 8"" fire service riser (near MECH/ELEC D134), tied via leader/adjacent keynote bubble '1' to the check-valve/OS&Y-valve symbol string. Appears once on the sheet."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,BR1,plan,false,"Unique instance. Paired with TR1 at the same callout, same valve symbol — branch riser designation for zone/area 1. Appears once."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,BR2,plan,false,"Unique instance. Paired with TR2, branch riser designation for zone/area 2. Appears once."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,TR1,plan,false,Unique instance. Stacked hexagon tag (with BR1) pointing via keynote bubble '2' to a valve symbol on the zone-control assembly riser — test riser designation for zone/area 1. Appears once.
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,TR2,plan,false,Unique instance. Stacked hexagon tag (with BR2) pointing via keynote bubble '3' to the next valve symbol down the riser — test riser designation for zone/area 2. Appears once.
21_VA_OrangeCounty_PublicSafetyBldg.pdf#15,UG1,plan,false,"Unique instance. Flag/hexagon tag on the underground fire-service riser stub labeled 'NEW 8"" FIRE INCOMING SERVICE'; identifies that specific underground service point. Appears once."
21_VA_OrangeCounty_PublicSafetyBldg.pdf#22,FCO,plan,false,"Floor cleanout symbol (circle-with-center-dot) with leader/label 'FCO'; occurs 4x on sheet (near A117/A118, near A119/C102, near A101/A108, near A114/A113) — repeatable type mark, listed once."
