sheet,tag,role,in_table,note
22_GA_Valdosta_FireStation8_100CD.pdf#59,IB1,plan,false,"Boxed fixture tag next to an ice-maker/box symbol adjacent to the BREAK RM. sink (same cluster as the second SK1). Appears once. Verified against textSpans ('IB1' at x0=3747.6,y0=3079) and visually."
22_GA_Valdosta_FireStation8_100CD.pdf#59,MB2,plan,false,"Boxed fixture tag drawn directly next to the mop-basin plumbing fixture symbol near STAIR 1 / UTILITY 147 (below the '1 1/2"" ANGLE HOSE VALVE' callout). Appears once on this sheet. Verified against textSpans ('MB2' at x0=2666.5,y0=1890.6) and visually via a zoomed crop."
22_GA_Valdosta_FireStation8_100CD.pdf#59,SK1,plan,false,Boxed sink-fixture tag drawn next to two different sink symbols: one in the KITCHEN (119) area and one in the BREAK RM. (123) area. Same literal tag used for both (repeatable type/schedule mark for a sink type) — listed once. Verified against textSpans (two 'SK1' occurrences) and visually.
22_GA_Valdosta_FireStation8_100CD.pdf#60,LV1,plan,false,"Lavatory fixture-type tag, boxed callout appearing repeatedly across the plan and both riser diagrams/toilet blowups. Repeatable type mark - listed once."
22_GA_Valdosta_FireStation8_100CD.pdf#60,MB1,plan,false,"Mop basin/sink fixture-type tag, boxed callout in the Riser No.4 laundry area and toilet-plan blowup #4. Repeatable type mark - listed once."
22_GA_Valdosta_FireStation8_100CD.pdf#60,SH1,plan,false,"Shower fixture-type tag, boxed callout appearing repeatedly across the plan and riser diagrams. Repeatable type mark - listed once."
22_GA_Valdosta_FireStation8_100CD.pdf#60,WB1,plan,false,"Wash basin fixture-type tag, boxed callout in Riser No.4 laundry area and toilet-plan blowup #4. Repeatable type mark - listed once."
22_GA_Valdosta_FireStation8_100CD.pdf#60,WC1,plan,false,"Water closet fixture-type tag, boxed callout appearing many times across the second-floor plan, both toilet-plan riser blowups, and both riser diagrams (Riser No.3, Riser No.4). Repeatable type mark - listed once."
22_GA_Valdosta_FireStation8_100CD.pdf#61,LV1,plan,false,"Lavatory type-1 fixture tag on box symbols; appears repeatedly in decon-toilets plan (view 1) and riser No.1 waste/water schematics (view 3), 6 occurrences."
22_GA_Valdosta_FireStation8_100CD.pdf#61,LV2,plan,false,"Lavatory type-2 fixture tag on box symbols; appears in first-floor-toilets plan (view 2) and riser No.2 schematics (view 4), 6 occurrences."
22_GA_Valdosta_FireStation8_100CD.pdf#61,MB1,plan,false,"Mop-basin type-1 fixture tag on box symbol with leader line; appears in the large-scale decon-toilets plan (view 1) and again in riser diagram No.1 (view 3), 4 occurrences total."
22_GA_Valdosta_FireStation8_100CD.pdf#61,SH1,plan,false,"Shower type-1 fixture tag on box symbols; appears in decon-toilets plan (view 1) and riser No.1 schematics (view 3), 5 occurrences."
22_GA_Valdosta_FireStation8_100CD.pdf#61,SH2,plan,false,"Shower type-2 fixture tag on box symbols; appears in first-floor-toilets plan (view 2) and riser No.2 schematics (view 4), 6 occurrences."
22_GA_Valdosta_FireStation8_100CD.pdf#61,WB1,plan,false,"Plumbing fixture symbol (wall-mount fixture type 1) near VESTIBULE/NICHE 145A, top-left large-scale decon-toilets plan; only 1 occurrence on this sheet."
22_GA_Valdosta_FireStation8_100CD.pdf#61,WC1,plan,false,"Water-closet type-1 fixture tag on box symbols; appears in decon-toilets plan (view 1) and riser No.1 schematics (view 3), 6 occurrences."
22_GA_Valdosta_FireStation8_100CD.pdf#61,WC2,plan,false,"Water-closet type-2 fixture tag on box symbols; appears in first-floor-toilets plan (view 2) and riser No.2 schematics (view 4), 6 occurrences."
