sheet,tag,role,in_table,note
23_GA_MaconBibb_RecreationCenter.pdf#12,EXG FD,plan,false,"Existing floor drain (plumbing fixture) — labeled 'EXG FD' with a leader dot pointing to a small circle drain glyph, drawn directly on the floor plan in the kitchen/mechanical area (near the diamond-shaped room). Occurs 3 times with identical literal text (repeatable type mark, listed once). Confirmed by demolition keynote 5 in the same sheet's keynote legend: 'REMOVE EXISTING SHOWER STALL FLOOR DRAIN AND THE ASSOC. PLUMBING FIXTURES', which corroborates FD = floor drain, a genuine plumbing fixture, not a room number or keynote number."
23_GA_MaconBibb_RecreationCenter.pdf#33,A,plan,false,"Hexagon register/diffuser type-mark 'A' with CFM (75, 90, 130) shown below the divider line inside the hex; drawn directly on multiple air-terminal symbols across the plan (e.g. near TROPHY CASE/103, RECEPT/104, EQUIP/128). Same literal type letter used for many physical fixtures -> repeatable type mark, listed once."
23_GA_MaconBibb_RecreationCenter.pdf#33,B,plan,false,"Hexagon type-mark 'B' (CFM 140, 150) on air-terminal symbols near the far-left corridor room (OFC/117 area) and near the 8"" DROP unit-heater branch. Repeatable type mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,BPIU-1,plan,false,Same STORAGE/120 unit as FCU-1; the underlined label 'BPIU-1' (bipolar ionization unit) labels the accessory on that fan coil unit per keynote 13. Unique instance mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,C,plan,false,"Hexagon type-mark 'C' (CFM 200/250/300/350/375) on ceiling diffuser symbols, by far the most numerous glyph on the sheet (MP ROOM, kitchen/pantry, corridor, MTG ROOM areas). Repeatable type mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,D,plan,false,Hexagon type-mark 'D' (CFM 500) on one air-terminal symbol near KILN/115 wall. Single occurrence but still a repeatable-style type mark by convention.
23_GA_MaconBibb_RecreationCenter.pdf#33,E,plan,false,"Hexagon type-mark 'E' (no CFM, just an underline where CFM would go, i.e. existing-to-remain grille) on 4 stacked return/transfer symbols feeding EXISTING FCU-A&B / FCU-C&D. Repeatable type mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,EF-1,plan,false,Exhaust-fan hood symbol labeled 'EF-1' (450 CFM) near the shower/storage area. Unique instance mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,EF-2,plan,false,Exhaust-fan hood symbol labeled 'EF-2' (450 CFM) adjacent to EF-1. Unique instance mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,EF-3,plan,false,"Exhaust-fan symbol labeled 'EF-3' near JAN/118, with leader arrow into the janitor closet duct opening. Unique instance mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,F,plan,false,Hexagon type-mark 'F' (no CFM/underline) on a return-air symbol near HP-1/MP ROOM. Repeatable type mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,FCU-1,plan,false,"Vertical fan-coil-unit box symbol in STORAGE/120, labeled 'FCU-1' by two separate leader callouts pointing at the same physical unit (one leader near the top duct connection, one underlined leader at the bottom together with BPIU-1) -> single physical unit, listed once as a unique instance mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,G,plan,false,Hexagon type-mark 'G' on 36x36 sidewall transfer-grille symbols (with 3-arrow leader) near GATHERING AREA and existing HP-A&B ductwork; matches keynote 3 ('MOUNT 36x36 SIDEWALL TRANSFER GRILLE'). Repeatable type mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,H,plan,false,Hexagon type-mark 'H' (CFM 550) labeling the register boxes atop the 3 new vertical fan coil units serving EXISTING HP/FCU-C&D (matches keynote 13). Repeatable type mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,HP-1,plan,false,"Fan/coil box symbol labeled 'HP-1' (heat pump) near MP ROOM/119, matches keynote 11 ('NEW HEAT PUMP'). Unique instance mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,I,plan,false,"Hexagon type-mark 'I' (CFM 450/75), the vertical bar inside the hex renders as the letter I. Multiple occurrences (TLT F/M area, near JAN/118). Repeatable type mark."
23_GA_MaconBibb_RecreationCenter.pdf#33,J,plan,false,Hexagon type-mark 'J' (CFM 175/150) near the shower rooms/TLT area. Repeatable type mark.
23_GA_MaconBibb_RecreationCenter.pdf#33,MVD,plan,false,"Motorized volume damper symbol (small X-box on duct) labeled 'MVD' with dashed leader, near FCU-1/HP-1 branch. Single occurrence, unique instance mark."
