sheet,tag,role,in_table,note
24_IA_JohnsonCounty_Courthouse.pdf#21,CP-1,plan,false,Condensate pump tag (underlined) on a small equipment glyph just left of the ERV-2 unit in the Attic HVAC Plan view.
24_IA_JohnsonCounty_Courthouse.pdf#21,CWC-1,detail,false,"Cooling-water-coil tag (underlined) on the coil-section glyph attached to the ERV-2 unit, visible only in the Section 31 detail view (bottom-left of sheet)."
24_IA_JohnsonCounty_Courthouse.pdf#21,E-1,plan,false,"Exhaust grille type mark, same schedule-box format as S-1. Occurs at Women's RR area, Small Courtroom, near office 02J, and Multi-Use/Conference area. Repeatable type, listed once."
24_IA_JohnsonCounty_Courthouse.pdf#21,ECP-1,plan,false,"Underlined tag on a gray-shaded equipment cabinet glyph (electrical/control panel) in the restroom area; the identical box+tag repeats once per restroom (Women's and Men's side) — repeatable type, listed once."
24_IA_JohnsonCounty_Courthouse.pdf#21,ERV-2,plan,false,"Energy recovery ventilator unit tag on the large shaded ERV glyph in the Attic HVAC Plan view; the same unit is also shown/tagged 'ERV-2' in the Section 31 detail view below the Level-1 plan (same physical unit, one entry)."
24_IA_JohnsonCounty_Courthouse.pdf#21,FCU-00-022C,plan,false,Unique FCU instance tag on the shaded FCU glyph serving office 022C.
24_IA_JohnsonCounty_Courthouse.pdf#21,FCU-00-022D,plan,false,Unique FCU instance tag on the shaded FCU glyph serving office 022D.
24_IA_JohnsonCounty_Courthouse.pdf#21,FCU-04-021E,plan,false,"Unique fan-coil-unit instance tag on the shaded FCU glyph serving room 021E (near Vestibule 02E), with an associated 'FS' device and CFM callout on its duct."
24_IA_JohnsonCounty_Courthouse.pdf#21,HWC-1,detail,false,Heating-water-coil tag (underlined) on the coil-section glyph next to CWC-1 in the same Section 31 detail view.
24_IA_JohnsonCounty_Courthouse.pdf#21,L-1,plan,false,"Lavatory/sink type tag, underlined callout; leader lines point to two separate sink glyphs in the restroom riser detail — repeatable type, listed once."
24_IA_JohnsonCounty_Courthouse.pdf#21,R-1,plan,false,Return grille type mark (schedule box '6Ø/150') near Vestibule 02E / West Stairs. Only one occurrence found on this sheet.
24_IA_JohnsonCounty_Courthouse.pdf#21,S-1,plan,false,"Supply diffuser/register type mark (schedule box shows duct size + CFM below it, e.g. '8Ø/150'). Occurs ~12 times across Level 1/2 offices, Small Courtroom, Large Courtroom, hallway, Multi-Use/Conference — all same literal tag, repeatable type, listed once."
24_IA_JohnsonCounty_Courthouse.pdf#21,U-1,plan,false,"Urinal type tag, underlined callout with leader to urinal glyph in the same restroom riser detail."
24_IA_JohnsonCounty_Courthouse.pdf#21,WC-1,plan,false,"Plumbing fixture type tag (water closet type 1), underlined callout with leader to toilet-bowl glyph in the Women's/Men's RR plumbing riser detail near ECP-1. Same literal tag appears twice (one per fixture) — repeatable type, listed once."
24_IA_JohnsonCounty_Courthouse.pdf#21,WC-2,plan,false,"Water closet type 2, underlined callout with leader to a second toilet-bowl glyph in the same restroom riser detail."
24_IA_JohnsonCounty_Courthouse.pdf#25,CP-1,plan,false,"Tag on Attic Electrical Plan, leader arrow from a boxed 'MS' (motor/manual starter) device symbol pointing to 'CP-1 / 120V-1P/20A / 3P2-24' — reads as a unique circulator/condensate pump instance tag associated with the attic HVAC equipment (near the ERV/preheat coil). Listed once (single occurrence)."
24_IA_JohnsonCounty_Courthouse.pdf#25,ERV-2,plan,false,"Underlined tag on the Attic Electrical Plan, drawn adjacent to the ERV unit box symbol with leader lines to two separate power circuits (3P2-57,59,61 and 3P2-63,65,67) feeding the same physical Energy Recovery Ventilator unit. All 3 occurrences of the literal text 'ERV-2' refer to the one unique physical unit, so listed once as a unique instance mark."
24_IA_JohnsonCounty_Courthouse.pdf#25,FCU,plan,false,"Bare 'FCU' (Fan Coil Unit) label, underlined, with leader/arrow pointing to the wall-mounted FCU equipment box symbol; appears twice at distinct locations (Office 021C and Multi-Use/Conference 021E), each time as the same literal 'FCU' with no unit-number suffix. Confirmed real mechanical equipment by Referenced Note 4: 'RECONNECT POWER TO FAN COIL UNIT. COORDINATE WORK WITH MECHANICAL CONTRACTOR.' Since the sheet gives no distinguishing suffix, both occurrences use the identical literal tag, so treated as one repeatable type mark and listed once."
24_IA_JohnsonCounty_Courthouse.pdf#5,EX. FCU,plan,false,"Repeatable type mark for existing fan coil units. Drawn as a text label inside a small rectangular glyph mounted in the wall/turret chase (confirmed visually via crops at multiple locations, e.g. near OFFICE 023D, along the corridor chase near rooms 021C/021D/023C, and around the small courtroom turret). Same exact literal 'EX. FCU' labels 8 distinct physical existing FCU units at different plan locations (y0 approx 1016.1, 1267.1 x2, 1708.7, 1930.0, 2036.5, 2519.9, 2789.7 in textSpans dump) -- listed once per rules since it is a repeatable type mark, not individually numbered."
24_IA_JohnsonCounty_Courthouse.pdf#5,EXR FCU,plan,false,"Distinct literal text from 'EX. FCU' (confirmed in raw textSpans as 'EXR FCU', and visually as a separate label on equipment glyphs in the same wall chase, e.g. near room 021C and near room 023C at the bottom corridor). Appears 2x on this sheet at different physical units. Kept as its own tag rather than merged into 'EX. FCU' since the exact drawn text differs (per instruction to cross-check exact text against the textSpans dump)."
