# coverage: AIR SEPARATOR SCHEDULE | complete
#
# 27_WA_ColvilleTribes_Hatchery_Lab.cells.csv — CELL-tier ground truth.
# HELD OUT, second sample — drawn by seed 770231 from the 162 keyed tables
# holding 12-130 cells that the first sample had not taken. Every cell read off
# a render of the table and checked against what the extractor returned; where
# the two differed the RENDER decided. 277 of 277 matched.
#
# row/col are 0-based indices into the table AS DRAWN, a spanning cell counted
# once at its top-left. Empty drawn cells are not recorded.
sheet,table_title,row,col,text
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,0,0,AIR SEPARATOR SCHEDULE
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,0,TAG
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,1,LOCATION
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,2,SYSTEM
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,3,MANUFACTURER/ MODEL
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,4,TYPE
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,5,PIPE SIZE (IN)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,6,FLUID
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,7,MAX TEMP (F)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,8,FLOW (GPM)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,9,WPD (FT WC)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,10,VOL (GAL)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,11,OPER. WT. (LBS)
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,1,12,REMARKS
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,0,AS-1
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,1,MECH. RM.
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,2,EVAPORATOR LOOP
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,3,FLAMCOVENT FSADS600N 150F
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,4,COALESCING
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,5,"6"""
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,6,WATER
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,7,110
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,8,385
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,9,0.7
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,10,20.6
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,2,11,285
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,0,AS-2
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,1,MECH. RM.
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,2,CONDENSOR LOOP
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,3,FLAMCOVENT FSADS500N 125F
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,4,COALESCING
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,5,"5"""
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,6,WATER
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,7,110
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,8,165
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,9,0.3
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,10,20.6
27_WA_ColvilleTribes_Hatchery_Lab.pdf#15,AIR SEPARATOR SCHEDULE,3,11,275
