sheet,tag,role,in_table,note
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,1E,plan,false,"Diffuser/register type mark on an X-box grille glyph (top number over CFM value below, e.g. '1E / 90'); repeatable schedule-type mark, occurs twice on this sheet, listed once"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,1S,plan,false,"Diffuser/register type mark on an X-box grille glyph (top number over CFM value below, e.g. '1S / 60'); repeatable schedule-type mark, occurs twice on this sheet, listed once"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,2R,plan,false,"Diffuser/register type mark on an X-box grille glyph (top number over CFM value below, e.g. '2R / 260'); repeatable schedule-type mark, occurs twice on this sheet, listed once"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,2S,plan,false,"Diffuser/register type mark on an X-box grille glyph (top number over CFM value below, e.g. '2S / 380'); repeatable schedule-type mark, occurs twice on this sheet, listed once"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,CU-1,plan,false,"Condensing unit, boxed callout near top of plan, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,EF-1,plan,false,"Exhaust fan, boxed callout with fan glyph, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,EF-2,plan,false,"Exhaust fan, boxed callout with fan glyph, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,EF-3,plan,false,"Exhaust fan, boxed callout with fan glyph, unique instance; adjacent circled '3' is a key-note reference, not part of the tag"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,ERV-1,plan,false,"Energy recovery ventilator, boxed callout, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,FCU-1,plan,false,"Fan coil unit, boxed callout, unique instance (also referenced in general notes text)"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,LV-1,plan,false,"Louver, underlined text tag next to louver symbol on exterior wall, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,LV-2,plan,false,"Louver, underlined text tag next to louver symbol on exterior wall, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,LV-3,plan,false,"Louver, underlined text tag next to louver symbol on exterior wall, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,RD,plan,false,"Circled 'RD' inside machinery room near a chute/duct feature (likely relief/roof damper); single unnumbered instance, moderate confidence this is a real equipment tag vs. abbreviation label"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,TE-300,plan,false,Circled 'TE' over '300' near top-left exterior wall = temperature element/sensor instance number 300; only one such circle on this sheet
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,UH-01,plan,false,"Unit heater, boxed callout, unique instance"
27_WA_ColvilleTribes_Hatchery_Lab.pdf#1,UH-02,plan,false,"Unit heater, boxed callout, unique instance"
