sheet,tag,role,in_table,note
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,AHU-1 (E),plan,false,AHU box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,B-1 (E),plan,false,"Boiler box, same caveat."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,B-2 (E),plan,false,"Boiler box, electrical new-work plan E2.01A. No extractable text layer; read visually."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CH-1 (E),plan,false,Chiller box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CH-2 (E),plan,false,Chiller box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CH-3,plan,false,"New chiller, detailed chiller graphic on left with adjacent 'CHILLER #3 CONTROLLER/VFD' box."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CHP-1 (E),plan,false,"Pump box, with 'CHP-1 VFD' label below."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CHP-2 (E),plan,false,"Pump box, with 'CHP-2 VFD' label below."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CHP-3 (E),plan,false,"Pump box, with 'CHP-3 VFD' label below."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CTWP-1 (E),plan,false,Pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CTWP-2 (E),plan,false,Pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,CTWP-3 (E),plan,false,Pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,TSP-MCC,plan,false,"Panel label, top-right (existing switchgear room outline)."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,TSP-PP1 (E),plan,false,"4000A switchboard, bottom-left of plan."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,TSP-PP2,plan,false,"New 2000A MCB switchboard box, top-right."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#10,XPT (E),plan,false,Expansion tank symbol.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#11,TSP-PP,plan,false,"Label on ONCOR 2000KVA utility transformer box, electrical new-work plan E2.01B (Area B)."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#11,TSP-PP MAIN,plan,false,Switchboard box label.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#11,TSP-PP2,plan,false,"'2000A SERVICE DISC. SW. TSP-PP2' box label, left side of plan."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CH-1,schematic,false,Load/breaker label on one-line diagram (small text among many similar breaker callouts).
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CH-2,schematic,false,Load/breaker label on one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CH-3,schematic,false,Load/breaker label on one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CHP-1,schematic,false,Load/breaker label on one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CHP-2,schematic,false,Load/breaker label on one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,CHP-3,schematic,false,Load/breaker label on one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,TSP-MCC,schematic,false,Switchboard block in one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,TSP-PP,schematic,false,Switchboard block in one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,TSP-PP1,schematic,false,"Switchboard block in electrical one-line/riser diagram (E4.00) - a schematic, not a physical floor plan."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#12,TSP-PP2,schematic,false,Switchboard block in one-line diagram.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,AHU-1 (E),plan,false,Existing air handling unit box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,B-1 (E),plan,false,"Existing boiler box, same sheet."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,B-1 VFD (R),plan,false,"VFD for boiler 1, marked to-be-relocated."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,B-2 (E),plan,false,"Existing boiler box, label directly on/next to symbol. Demolition plan (M1.01A)."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,B-2 VFD,plan,false,"VFD for boiler 2, leader to small box symbol."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CH-1 (E),plan,false,"Existing chiller box, adjacent to CH-2."
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CH-2 (E),plan,false,Existing chiller box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CHP-1 (E),plan,false,Chilled water pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CHP-2 (E),plan,false,Chilled water pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CHP-3 (E),plan,false,Chilled water pump box.
29_TX_JPS_Hospital_CentralPlant_Chiller.pdf#3,CTWP-1 (E),plan,false,Condenser/cooling-tower water pump box.
