# baker-county-eoc.attrs.csv — ATTRIBUTE-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-attr-eval.mjs).
#
# Authored from RENDERS (mcp/scripts/render-page-crop.mjs, 2-4x) by reading each table by eye;
# the pipeline's output for these sheets was not consulted. Where render and pipeline later
# differ, the RENDER decides. A key that looks wrong is written up in
# ASSEMBLIES_BUG_CATALOGUE.md, never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Tables drawn by seed 20260923 (reports/assemblies/01-split.json); transcription: reports/assemblies/key-work/baker-county-eoc.transcription.txt,
# expanded by mcp/scripts/assemblies-key-transcribe.mjs.
#
# Scope: Sheet M6.01 (page 41) of the Baker Emergency Operations Center mechanical bid set (Sazan Group), every claimed keyed-family table of this dev document.
#   baker-county-eoc-bidset.pdf#41 | PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT) | RTU | all 2 printed rows | render: page 41 crop 208,52,2175,320 at 3x in 5 tiles (two rows, no tag repeat needed), remarks in the same tiles; second read at 4x (crops 725,290,65,78 and 1570,290,65,78 and 2045,290,72,78) of both rows' supply CFM, gas input and V/PH/HZ
#   baker-county-eoc-bidset.pdf#41 | ENERGY RECOVERY VENTILATOR SCHEDULE | ERV | all 1 printed row | render: page 41 crop 1210,398,1175,215 at 3x in 3 tiles, remarks in the same tiles; second read at 4x (crop 1880,535,75,55) of the exhaust airflow
#   baker-county-eoc-bidset.pdf#41 | FAN SCHEDULE | FAN | all 1 printed row | render: page 41 crop 1305,676,1080,170 at 3x in 2 tiles, remarks in the same tiles; second read at 4x (crop 1985,745,50,80) of the fan RPM
#   baker-county-eoc-bidset.pdf#41 | SPLIT SYSTEM CONDENSING UNIT SCHEDULE | CONDENSING_UNIT | all 2 printed rows | render: page 41 crops 1305,853,1080,172 (header) and 1305,1000,1080,75 (rows) at 3x in 2 tiles each; second read at 4x (crops 1770,1020,60,48 and 1900,1020,60,48) of both rows' cooling and heating loads
#   baker-county-eoc-bidset.pdf#41 | SPLIT SYSTEM FAN COIL UNIT SCHEDULE | FCU | all 2 printed rows | render: page 41 crop 1330,1310,1060,225 at 3x in 2 tiles, remarks in the same tiles; second read at 4x (crop 2065,1485,70,45) of both rows' airflow
# Covered attributes: every attribute of the family's key vocabulary (assemblies-key-transcribe.mjs KEY_ATTRIBUTES),
# one line per instance x attribute. Empty value + note 'not printed' = the table has no such column;
# empty value + note 'blank cell' = the column exists but this row prints nothing. Both score 'invented' if the pipeline fills them.
# Not counted: Manufacturer/model, fan and filter types, BHP, sensible loads, air temperatures, SEER/EER/COP, powered exhaust, sound, FLA/MCA/MOCP, weights, and every printed column outside the family's key vocabulary (mapped "-", still typed for audit).
# baker-county-eoc: 5 table(s), 8 instance(s), 217 keyed attribute value(s) (72 printed, 145 empty)
sheet,table_title,tag,family,attribute,value,unit,source_header,note
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,building,,,,not printed
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,floor,ROOF,,LOCATION names a level,printed 'ROOF'; author's reading of the printed row
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,area_served,MAIN OPERATIONS,,SERVICE: the area the unit serves,author's reading of the printed row
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,qty,,,,not printed
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,supply_cfm,1650,cfm,SUPPLY AIR (CFM),
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,oa_cfm_min,330,cfm,MIN OUTSIDE AIR (CFM),
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,supply_fan_hp,1.4,hp,SUPPLY AIR FAN / MOTOR (HP) EACH,
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,supply_fan_qty,1,,SUPPLY AIR FAN / QTY,
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,return_fan_hp,,hp,,not printed
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,exhaust_fan_hp,,hp,,not printed
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,vfd,no,,SUPPLY AIR FAN / VFD,printed 'NO'
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,economizer,airside,,ECONOMIZER: a packaged rooftop unit's economizer is airside,printed 'YES'; author's reading of the printed row
baker-county-eoc-bidset.pdf#41,PACKAGED ROOFTOP AIR CONDITIONING UNIT SCHEDULE (GAS HEAT),RTU-1,RTU,outdoor_air_pct,,%,,not printed
