room,surface,code
100,FLOOR,RF-1
100,BASE,WB-1
100,NORTH,P-2
100,EAST,P-1
100,SOUTH,STOREFRONT
100,WEST,P-1
100,CEILING,GYP-1
101,FLOOR,RF-1
101,BASE,WB-1
101,NORTH,P-1
101,EAST,P-1
101,SOUTH,P-1
101,WEST,P-2
101,CEILING,ACT-1
102,FLOOR,RT-1
102,BASE,WB-1
102,NORTH,P-1
102,EAST,P-1
102,SOUTH,P-1
102,WEST,P-1
102,CEILING,GYP-1
103,FLOOR,RT-1
103,BASE,WB-1
103,NORTH,P-1
103,EAST,P-1
103,SOUTH,P-1
103,WEST,P-1
103,CEILING,GYP-1
104,FLOOR,RT-1
104,BASE,WB-1
104,NORTH,P-1
104,EAST,P-1
104,SOUTH,P-1
104,WEST,P-1
104,CEILING,GYP-1
105,FLOOR,CPTT-1
105,BASE,WB-1
105,NORTH,P-1
105,EAST,P-1
105,SOUTH,P-1
105,WEST,P-2
105,CEILING,ACT-1
106,FLOOR,CPTT-1
106,BASE,WB-1
106,NORTH,P-1
106,EAST,P-1
106,SOUTH,P-1
106,WEST,P-2
106,CEILING,ACT-1
107,FLOOR,RF-2
107,BASE,WB-1
107,NORTH,P-1
107,EAST,P-1
107,SOUTH,P-1
107,WEST,P-1
107,CEILING,GYP-1
108,FLOOR,RF-2
108,BASE,WB-1
108,NORTH,P-1
108,EAST,P-1
108,SOUTH,P-1
108,WEST,P-1
108,CEILING,GYP-1
109,FLOOR,RF-2
109,BASE,WB-1
109,NORTH,P-1
109,EAST,P-1
109,SOUTH,P-1
109,WEST,P-1
109,CEILING,GYP-1
110,FLOOR,RF-2
110,BASE,WB-1
110,NORTH,P-1
110,EAST,P-1
110,SOUTH,P-1
110,WEST,P-1
110,CEILING,GYP-1
111,FLOOR,CPTT-1
111,BASE,WB-1
111,NORTH,P-1
111,EAST,P-1
111,SOUTH,P-2
111,WEST,P-1
111,CEILING,ACT-1
112,FLOOR,CPTT-1
112,BASE,WB-1
112,NORTH,P-1
112,EAST,P-1
112,SOUTH,P-1
112,WEST,P-1
112,CEILING,GYP-1
