sheet,tag,role,in_table,note
baker-county-eoc-bidset.pdf#54,R1,plan,false,"Light fixture type mark. Repeated ~15+ times across the plan (open rectangular troffer box w/ center dot = normal, or same box w/ black diagonal fill = night-light/inverter-fed variant). Confirmed exact literal text via textSpans as 'R1 /C-11', 'R1 /INV-1', 'R1 /INV-2', 'R1 /INV-3' (the '/C-xx' or '/INV-x' suffix is a circuit/panel reference, not part of the fixture-type tag). Repeatable schedule-type mark, listed once."
baker-county-eoc-bidset.pdf#54,R2,plan,false,"Light fixture type mark, same box-symbol family as R1, seen in restroom/hallway area. Confirmed via textSpans as 'R2 /C-11', 'R2 /INV-1'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,R3,plan,false,"Light fixture type mark, round downlight icon near the restroom/dispatch-supervisor area. Only one drawn instance found on this sheet. Confirmed exact text via textSpans entry {str:'R3', x0:1627.4, y0:2772.6} directly beneath the round fixture icon."
baker-county-eoc-bidset.pdf#54,S1,plan,false,"Linear/strip ceiling fixture type mark (drawn as a horizontal bar with one or more round lamp dots), repeated many times in the storage/comm/utility rooms. Confirmed via textSpans as 'S1 /C-11' and 'S1 /INV-3'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,S3,plan,false,"Linear/strip ceiling fixture type mark, same family as S1 but a different type, seen in the IDF/storage rooms. Confirmed via textSpans as 'S3 /C-11'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,P1,plan,false,"Pendant/suspended linear fixture type mark (long thin bar symbol) in the dispatch/911 call center room, 3 drawn instances. Confirmed via textSpans as 'P1 /C-11' (x2) and 'P1 /INV-2'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,V1,plan,false,"Vanity/restroom light fixture type mark over the sinks, 2 drawn instances. Confirmed via textSpans as 'V1 /C-11' (x2). Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,E1,plan,false,"Wall/ceiling emergency light fixture type mark (small black head-and-dot icon), repeated ~7 times around room perimeters. Confirmed via textSpans as 'E1 /C-2'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,E2,plan,false,"Wall-mounted emergency light head fixture type mark (filled circle icon), repeated ~5 times, e.g. along the hallway/electrical-room wall. Confirmed via textSpans as 'E2 /INV-1' and 'E2 /INV-3'. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,X1,plan,false,"Exit sign type mark, drawn as a circled-X icon, ~5 instances (e.g. by Hallway 101, by Conference 105). Confirmed via textSpans as plain 'X1' directly beside each circled-X glyph. Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,OS,plan,false,"Occupancy sensor. Appears as its own circled ceiling-sensor icon (very common, 20+ times) and also as a plain text label stacked directly above a generic wall-switch '$' glyph (an occupancy-sensor-type wall switch). Confirmed via many textSpans entries reading exactly 'OS'. Repeatable type/device mark, listed once."
baker-county-eoc-bidset.pdf#54,PC,plan,false,"Photocell sensor, drawn as its own circled ceiling icon (paired directly under an OS circle in two rooms). Confirmed via textSpans as 'PC' (2 instances). Repeatable type mark, listed once."
baker-county-eoc-bidset.pdf#54,OSD,plan,false,"Occupancy-sensor/dimmer wall control type designation, written directly above a generic '$' switch glyph (no separate circle icon of its own, same convention as OS/LV-prefixed labels next to switches). Single occurrence, confirmed via textSpans entry {str:'OSD', x0:1580.3, y0:2695.9} directly over the switch symbol near room 111/Utilities."
baker-county-eoc-bidset.pdf#54,ATS,plan,false,"Automatic Transfer Switch equipment box, drawn as a small gray/screened rectangle symbol on a wall. Appears twice: (1) beside the '(E) Electrical' room A149 — this one's text IS confirmed by a textSpans entry {str:'ATS', x0:4230.6, y0:706.1}; (2) inside the Utilities/911-Call-Center utility closet area near the S1/INV-3 strip fixtures — visually identical gray 'ATS' box glyph, but no matching textSpans entry exists anywhere near that second location (checked thoroughly), so that occurrence's label is real drawn content but NOT real vector text — a genuine gap the tag recognizer could never find from text alone. Same tag, listed once."
baker-county-eoc-bidset.pdf#55,MTS,plan,false,"Manual Transfer Switch for mobile genset (Flag Note 5). Boxed tag with leader triangle '5', drawn at wall near grid line 1, adjacent to Ham Radio/Comm 107. Exact match confirmed in textSpans at x0=984.7,y0=1469.2 (in raw pdf-point space this is ~492,735). Unique instance, only one MTS on sheet."
baker-county-eoc-bidset.pdf#55,ATS,plan,false,"Automatic Transfer Switch (Flag Note 6). Drawn TWICE on this sheet with the identical literal tag: once new, in a dashed box in the Utilities 110 area near INV/panel C, and once existing (grayed/existing-to-remain linework) in the existing Electrical room A149 next to (E) MDA. Both confirmed exact in textSpans: x0=1726.7,y0=1905.2 and x0=4230.6,y0=706.1. Listed once since it is the same literal tag naming the (functionally singular) automatic transfer switch equipment; recorded once per instructions."
baker-county-eoc-bidset.pdf#55,INV,plan,false,"Floor-mounted lighting inverter (Flag Note 14, Myers Illuminator). Boxed tag in Utilities 110 area. Exact match in textSpans x0=1679.8,y0=1857. Unique, single instance."
baker-county-eoc-bidset.pdf#55,ERV-01,plan,false,"Energy recovery ventilator, boxed tag with leader arrow pointing to a wall-mounted equipment glyph adjacent to 911 Call Center 111. Exact match in textSpans x0=1475,y0=2172.4. Unique instance mark (numbered -01)."
baker-county-eoc-bidset.pdf#55,FCU-1,plan,false,"Fan coil unit, boxed tag with leader arrow near Dispatch Supervisor 112 / 911 Call Center wall. Exact match in textSpans x0=1791.6,y0=2198. Unique instance mark."
baker-county-eoc-bidset.pdf#55,WH-1,plan,false,"Water heater, boxed tag with leader arrow pointing to a tank-shaped equipment glyph near Hallway 101 / RR1-RR2. Exact match in textSpans x0=1537.2,y0=2671.1. Unique instance mark."
baker-county-eoc-bidset.pdf#55,EWH-1,plan,false,"Electric water heater, boxed tag with leader arrow into RR 104 area. Exact match in textSpans x0=1383.6,y0=2739.5. Unique instance mark, distinct physical unit from EWH-2."
baker-county-eoc-bidset.pdf#55,EWH-2,plan,false,"Electric water heater, boxed tag with leader arrow near Janitor 102 / Hallway sink area. Exact match in textSpans x0=1458.5,y0=2700.8. Unique instance mark, distinct physical unit from EWH-1."
baker-county-eoc-bidset.pdf#55,(E) MDA,plan,false,"Existing Main Distribution (switchboard/panel) equipment, shown grayed-out as existing-to-remain, boxed/hatched rectangle glyph with underlined leader label in existing Electrical room A149 (top right of sheet). Exact match in textSpans x0=4415.3,y0=667.5 (literal text includes the '(E) ' prefix). Unique."
