# navfac-cherry-point-atc.binding.csv — control-evidence binding truth for the CONTROL_INTENT goal (goals/CONTROL_INTENT.md, TRUTH).
# Authored 2026-09-25 by reading the set's controls sheets MI700–MI743 (PDF text layer and renders), never pipeline
# output: no control-intent code had run on this held-out document. One row per (keyed instance, governing control
# packet): the control detail, schematic, sequence section or points schedule that decides the unit's BAS scope and
# options. packet_title is the title as printed (a line break joined by a space). binding: tag · list_range ·
# cross_reference · family_detail · semantic (as in the dev keys). The DDC network architecture diagram is not a
# governing packet (it decides no option). Population: every instance of keys/navfac-cherry-point-atc.typicals.csv. A key that looks
# wrong later is catalogued, never edited (GOAL_LOOPS ANTI-GAMING).
sheet,tag,family,packet_sheet,packet_title,binding,note
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A1,AHU,navfac-cherry-point-atc-mechanical.pdf#54,AIR OPS / MTRACON - AHU SCHEMATIC,family_detail,"MI704: the Air Ops / MTRACON AHU schematic, no tag"
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A1,AHU,navfac-cherry-point-atc-mechanical.pdf#54,AIR OPS AHU DDC POINTS LIST,family_detail,MI704
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A1,AHU,navfac-cherry-point-atc-mechanical.pdf#55,AIR OPS / MTRACON - AHU SEQUENCE OF OPERATION,tag,MI705 3.2.2 VARIABLE AIR VOLUME AHU SYSTEM names AHU-A1 and AHU-A2
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A2,AHU,navfac-cherry-point-atc-mechanical.pdf#54,AIR OPS / MTRACON - AHU SCHEMATIC,family_detail,"MI704: the Air Ops / MTRACON AHU schematic, no tag"
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A2,AHU,navfac-cherry-point-atc-mechanical.pdf#54,AIR OPS AHU DDC POINTS LIST,family_detail,MI704
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A2,AHU,navfac-cherry-point-atc-mechanical.pdf#55,AIR OPS / MTRACON - AHU SEQUENCE OF OPERATION,tag,MI705 3.2.2 VARIABLE AIR VOLUME AHU SYSTEM names AHU-A1 and AHU-A2
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A1,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#52,AIR OPS / MTRACON - DOAH SCHEMATIC,tag,the schematic marks a point *DOAH-A1 ONLY
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A1,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#52,AIR OPS DOAH DDC POINTS LIST,family_detail,
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A1,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#53,AIR OPS / MTRACON - DOAH SEQUENCE OF OPERATION,tag,"MI703 3.2.1 names DOAH-A1, DOAH-A2 and DOAH-M1"
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A2,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#52,AIR OPS / MTRACON - DOAH SCHEMATIC,family_detail,the Air Ops / MTRACON DOAH schematic
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A2,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#52,AIR OPS DOAH DDC POINTS LIST,family_detail,
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A2,DOAH_UNIT,navfac-cherry-point-atc-mechanical.pdf#53,AIR OPS / MTRACON - DOAH SEQUENCE OF OPERATION,tag,"MI703 3.2.1 names DOAH-A1, DOAH-A2 and DOAH-M1"
navfac-cherry-point-atc-mechanical.pdf#43,H-A1,HUMIDIFIER,navfac-cherry-point-atc-mechanical.pdf#69,3.3.8 HUMIDIFIER CONTROLS,family_detail,MI742: names only H-M5 and H-M6
navfac-cherry-point-atc-mechanical.pdf#43,H-A1,HUMIDIFIER,navfac-cherry-point-atc-mechanical.pdf#69,HUMIDIFIER DDC POINTS LIST,family_detail,MI742
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A101,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A101,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A102,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A102,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A103,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A103,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A104,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A104,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A105,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A105,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A106A,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A106A,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A106B,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A106B,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A106B,VAV,navfac-cherry-point-atc-mechanical.pdf#71,3.3.6 SFPVAV & REDUNDANT FAN COIL UNIT,tag,named with its redundant FCU
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A107,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A107,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A108A,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SERIES-FAN POWERED VAV BOX SEQUENCE OF OPERATION,family_detail,MI741 3.3.1 SERIES-FAN POWERED VAV BOX
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A108A,VAV,navfac-cherry-point-atc-mechanical.pdf#68,SFPVAV DDC POINTS LIST,family_detail,MI741
