sheet,tag,role,in_table,note
navfac-cherry-point-atc-mechanical.pdf#12,CD-1,plan,false,"Repeatable ceiling diffuser type mark, drawn on many diffuser box symbols across plan (e.g. near ENTRANCE/office rooms 141/142/159/161, kitchen area). Exact match in textSpans (20 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,CD-2,plan,false,"Repeatable ceiling diffuser type mark, many occurrences (offices, storage, corridor). Exact textSpans match (22 occurrences), including '(2) CD-2', '(3) CD-2' count-prefixed callouts."
navfac-cherry-point-atc-mechanical.pdf#12,CD-3,plan,false,"Repeatable diffuser type mark near ATCM EQUIPMENT / CLASSROOM area, also '(6) CD-3' near STARS SIMULATOR. Exact textSpans match (4 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,CD-4,plan,false,"Repeatable diffuser type mark, single labeled occurrence near ATCM EQUIPMENT room. Exact textSpans match."
navfac-cherry-point-atc-mechanical.pdf#12,CD-5,plan,false,Repeatable diffuser type mark near SUPPLY DESK area. Exact textSpans match.
navfac-cherry-point-atc-mechanical.pdf#12,RG-1,plan,false,"Repeatable return-grille type mark, many occurrences across plan. Exact textSpans match (22 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,RG-2,plan,false,Repeatable return-grille type mark. Exact textSpans match (7 occurrences).
navfac-cherry-point-atc-mechanical.pdf#12,RG-3,plan,false,"Repeatable return-grille type mark. Exact textSpans match (5 occurrences), includes '(2) RG-3' style near JANITOR."
navfac-cherry-point-atc-mechanical.pdf#12,RG-4,plan,false,Repeatable return-grille type mark. Exact textSpans match (8 occurrences).
navfac-cherry-point-atc-mechanical.pdf#12,RG-5,plan,false,"Repeatable return-grille type mark, seen as '(2) RG-5' near room 117/FWO/FCU-M7. Exact textSpans match (2 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,RG-6,plan,false,"Repeatable return-grille type mark, most common one on sheet. Exact textSpans match (25 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,RG-7,plan,false,Repeatable return-grille type mark. Exact textSpans match (8 occurrences).
navfac-cherry-point-atc-mechanical.pdf#12,RG-8,plan,false,"Repeatable return-grille type mark, incl. '(4) RG-8' near CORRIDOR. Exact textSpans match (4 occurrences)."
navfac-cherry-point-atc-mechanical.pdf#12,RG-9,plan,false,Repeatable return-grille type mark near FWO/room 117. Exact textSpans match (4 occurrences).
navfac-cherry-point-atc-mechanical.pdf#12,TG-1,plan,false,"Repeatable transfer-grille type mark, many occurrences (women's/men's/classroom/janitor areas), incl. '(2) TG-1' and '(2) TG-3' style count prefixes seen elsewhere. Exact textSpans match (6 direct 'TG-1' occurrences plus grouped variants)."
navfac-cherry-point-atc-mechanical.pdf#12,EG-1,plan,false,"Repeatable exhaust-grille type mark, multiple occurrences near women's/men's rooms and RH-M3/DH-M3 area. Exact textSpans match (5 occurrences)."
