# navfac-cherry-point-atc.typicals.csv — TYPICAL-tier ground truth for the ASSEMBLIES goal (mcp/scripts/assemblies-typical-eval.mjs).
#
# Judged the way an estimator would: from renders and the PDF's own text of each schedule row, its
# notes, and the sequences and control schematics the sheets point to. The pipeline's output for
# these sheets was not consulted. A key that looks wrong is written up in ASSEMBLIES_BUG_CATALOGUE.md,
# never edited (goals/ASSEMBLIES.md ANTI-GAMING).
# Library: us-typicals v1 (web/src/lib/assemblies/starter/us-typicals-v1.json), ids and options frozen at
# GATE 4. typical_id "none": no v1 typical fits the unit (it is listed as "no assembly").
# options: every option of the typical as option=true|false. A trailing "?" marks an option the drawings
# do not decide: it carries the library default, and the eval scores it apart from decided options.
# Instances: every instance of keys/navfac-cherry-point-atc.attrs.csv, one row each.
# Sources read: M-601..M-622 (pages 42-49) schedules; MI700-MI744 (pages 50-71) mechanical controls: DDC network, schematics, sequences and DDC points lists. HELD-OUT set: scored at gates only.
#
sheet,tag,family,typical_id,options,basis_note
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A1,AHU,ahu-multizone-vav,dedicated_min_oa=false;min_oa_dp=false;relief_damper=false;relief_fan=false;return_fan=false;return_fan_airflow=false;enthalpy_economizer=false;differential_economizer=false;dx_staged=false;freezestat_to_bas=false;duct_smoke_detectors=true;ufc_minimum_points=true,"MI704 points list and MI705 3.2.2: supply fans on VFDs, RA damper modulated, CHW coil only. Treated outdoor air comes from the DOAH and relief air goes back to it; the DOAH controller modulates the relief damper (MI702 AO07, MI703 3.2.1.9). So the AHU has no OA, minimum-OA or relief damper and no economizer of its own. Freezestat, high static and duct smoke are wired in series to the VFD safety contacts; the SA duct smoke detector is monitored (BI6). NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#42,AHU-A2,AHU,ahu-multizone-vav,dedicated_min_oa=false;min_oa_dp=false;relief_damper=false;relief_fan=false;return_fan=false;return_fan_airflow=false;enthalpy_economizer=false;differential_economizer=false;dx_staged=false;freezestat_to_bas=false;duct_smoke_detectors=true;ufc_minimum_points=true,"MI704 points list and MI705 3.2.2: supply fans on VFDs, RA damper modulated, CHW coil only. Treated outdoor air comes from the DOAH and relief air goes back to it; the DOAH controller modulates the relief damper (MI702 AO07, MI703 3.2.1.9). So the AHU has no OA, minimum-OA or relief damper and no economizer of its own. Freezestat, high static and duct smoke are wired in series to the VFD safety contacts; the SA duct smoke detector is monitored (BI6). NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A1,DOAH_UNIT,doas,exhaust_fan=true;variable_speed_wheel=false;dx_staged=false;duct_smoke_detectors=true;ufc_minimum_points=true,"MI702 points list and MI703 3.2.1: supply and exhaust fans on VFDs; energy recovery wheel on/off (BO06) with modulating OA- and EA-side bypass dampers (AO01/AO04), no wheel speed output; CHW and HHW coils; freezestat and TOA duct smoke detector monitored (BI06, BI08). NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#42,DOAH-A2,DOAH_UNIT,doas,exhaust_fan=true;variable_speed_wheel=false;dx_staged=false;duct_smoke_detectors=true;ufc_minimum_points=true,"MI702 points list and MI703 3.2.1: supply and exhaust fans on VFDs; energy recovery wheel on/off (BO06) with modulating OA- and EA-side bypass dampers (AO01/AO04), no wheel speed output; CHW and HHW coils; freezestat and TOA duct smoke detector monitored (BI06, BI08). NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,H-A1,HUMIDIFIER,humidifier,space_humidity=true,"MI742 points list and 3.3.8 (humidifier controls): enabled on the zone humidity sensor (AI01), start/stop and status. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A101,VAV,vav-series-fan,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=false;variable_fan=false;scr_heat=false?,"MI741 points list and 3.3.1 (series-fan powered VAV box): fan start/stop and status at constant discharge airflow (no speed output); primary damper and HHW valve on the space temperature sensor; no CO2, occupancy, window or setpoint adjust point. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A102,VAV,vav-series-fan,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=false;variable_fan=false;scr_heat=false?,"MI741 points list and 3.3.1 (series-fan powered VAV box): fan start/stop and status at constant discharge airflow (no speed output); primary damper and HHW valve on the space temperature sensor; no CO2, occupancy, window or setpoint adjust point. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A103,VAV,vav-series-fan,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=false;variable_fan=false;scr_heat=false?,"MI741 points list and 3.3.1 (series-fan powered VAV box): fan start/stop and status at constant discharge airflow (no speed output); primary damper and HHW valve on the space temperature sensor; no CO2, occupancy, window or setpoint adjust point. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A104,VAV,vav-series-fan,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=false;variable_fan=false;scr_heat=false?,"MI741 points list and 3.3.1 (series-fan powered VAV box): fan start/stop and status at constant discharge airflow (no speed output); primary damper and HHW valve on the space temperature sensor; no CO2, occupancy, window or setpoint adjust point. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
navfac-cherry-point-atc-mechanical.pdf#43,VAV-A105,VAV,vav-series-fan,co2_sensor=false;occupancy_sensor=false;window_switch=false;setpoint_adjust=false;variable_fan=false;scr_heat=false?,"MI741 points list and 3.3.1 (series-fan powered VAV box): fan start/stop and status at constant discharge airflow (no speed output); primary damper and HHW valve on the space temperature sensor; no CO2, occupancy, window or setpoint adjust point. NAVFAC, MCAS Cherry Point (DoD): UFC 3-410-01 applies."
