tag,description,qty,unit,sheet_id,table_title,bbox_px
AI01,SPACE TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2263.68,2477.28,2298.24"
AI02,CHW VALVE CONTROL (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2298.24,2477.28,2332.56"
AI03,HHW VALVE CONTROL (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2332.56,2477.28,2367.12"
AI04,DISCHARGE AIR TEMPERATURE SENSOR,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2367.12,2477.28,2401.68"
AO01,CHW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2470.56,2477.28,2505.12"
AO02,HHW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2505.12,2477.28,2539.68"
BI01,SUPPLY FAN START/STOP,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2608.56,2477.28,2643.12"
BI02,DIRTY FILTER SWITCH,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2643.12,2477.28,2677.44"
BI03,SECOUNDARY DRAIN PAN OVERFLOW SWITCH,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2677.44,2477.28,2712"
BI04,FCU DDC RESET,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2712,2477.28,2746.56"
BO01,SUPPLY FAN START/STOP,1,EA,navfac-cherry-point-atc-mechanical.pdf#67,FCU WITH HEATING AND COOLING COILS DDC POINTS LIST,"2400.96,2815.44,2477.28,2850"
