tag,description,qty,unit,sheet_id,table_title,bbox_px
AI01,AHU-T1B HW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,585.3560000000002,3434.88,619.9160000000002"
AI02,AHU-T1B SA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,619.9160000000002,3434.88,654.4760000000001"
AI03,AHU-T1B SA FAN STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,654.4760000000001,3434.88,689.0360000000001"
AI04,AHU-T1B SA FAN AIRFLOW,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,689.0360000000001,3434.88,723.3560000000002"
AI05,AHU-T1B FAN SPEED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,723.3560000000002,3434.88,757.9180000000001"
AI06,MIN OA AIRFLOW,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,757.9180000000001,3434.88,792.4780000000001"
AI07,AHU-T1B CHW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,792.4780000000001,3434.88,826.7979999999998"
AI08,AHU-T1B CC DISCHARGE TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,826.7979999999998,3434.88,861.3580000000002"
AI09,AHU-T1B MA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,861.3580000000002,3434.88,895.9180000000001"
AI10,AHU-T1A HW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,895.9180000000001,3434.88,930.4760000000001"
AI11,AHU-T1A SA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,930.4760000000001,3434.88,964.7959999999998"
AI12,AHU-T1A SA FAN STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,964.7959999999998,3434.88,999.3580000000002"
AI13,AHU-T1A SA FAN AIRFLOW,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,999.3580000000002,3434.88,1033.9180000000001"
AI14,AHU-T1A FAN SPEED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1033.9180000000001,3434.88,1068.2379999999998"
AI15,AHU-T1A CHW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1068.2379999999998,3434.88,1102.7979999999998"
AI16,AHU-T1A CC DISCHARGE TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1102.7979999999998,3434.88,1137.358"
AI17,AHU-T1A MA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1137.358,3434.88,1171.678"
AI18,HIGH LIMIT HUMIDISTAT,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1171.678,3434.88,1206.238"
AI19,SPACE HUMIDITY,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1206.238,3434.88,1240.798"
AI20,SPACE THERMOSTAT,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1240.798,3434.88,1275.358"
AI21,HUMIDIFIER CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1275.358,3434.88,1309.678"
AO01,AHU-T1B HW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1378.798,3434.88,1413.118"
AO02,AHU-T1B FAN SPEED CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1413.118,3434.88,1447.678"
AO03,AHU-T1B CHW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1447.678,3434.88,1482.238"
AO04,AHU-T1A HW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1482.238,3434.88,1516.558"
AO05,AHU-T1A FAN SPEED CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1516.558,3434.88,1551.118"
AO06,AHU-T1A CHW VALVE CONTROL,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1551.118,3434.88,1585.678"
AO07,HUMIDIFIER OUTPUT,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1585.678,3434.88,1620.238"
BI01,AHU-T1B MERV 8 FILTER STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1689.12,3434.88,1723.678"
BI02,AHU-T1B SA DUCT SMOKE DETECTOR,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1723.678,3434.88,1757.998"
BI03,AHU-T1B MERV 13 FILTER STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1757.998,3434.88,1792.558"
BI04,AHU-T1B VFD FAULT STATUS,1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1792.558,3434.88,1827.118"
BI05,MINIMUM OA DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1827.118,3434.88,1861.438"
BI06,MINIMUM OA DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1861.438,3434.88,1895.998"
BI07,REDUNDANT OA DAMPER POSITION CLOSED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1895.998,3434.88,1930.56"
BI08,REDUNDANT OA DAMPER POSITION OPEN (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#65,POINTS LIST AHU-T1A/TIB,"3340.074,1930.56,3434.88,1965.118"
