tag,description,qty,unit,sheet_id,table_title,bbox_px
AI01,UOA RELATIVE HUMIDITY,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,822.7199999999998,3490.326,857.038"
AI02,UOA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,857.038,3490.326,891.5999999999999"
AI03,HHW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,891.5999999999999,3490.326,926.1579999999999"
AI04,HEATING COIL LAT,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,926.1579999999999,3490.326,960.48"
AI05,COOLING COIL LAT,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,960.48,3490.326,995.038"
AI06,TOA TEMPERATURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,995.038,3490.326,1029.6"
AI07,TOA HUMIDITY,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,1029.6,3490.326,1064.158"
AI08,TOA AIRFLOW,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,1064.158,3490.326,1098.478"
AI09,CHW VALVE POSITION (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,1098.478,3490.326,1133.038"
AI10,FAN SPEED (FEEDBACK),1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,1133.038,3490.326,1167.598"
AI11,TOA FAN DIFFERENTIAL PRESSURE,1,EA,navfac-cherry-point-atc-mechanical.pdf#64,POINTS LIST DOAH-TI,"3297.85,1167.598,3490.326,1201.92"
