tag,description,qty,unit,sheet_id,table_title,bbox_px
DH-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,1959.358,3623.04,1993.68"
DH-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,1993.68,3623.04,2028.238"
DH-A3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,2028.238,3623.04,2062.8"
DH-A4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,2062.8,3623.04,2097.118"
DH-A5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,2097.118,3623.04,2131.6800000000003"
DH-A6,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,DEHUMIDIFIER SCHEDULE,"3461.282,2131.6800000000003,3623.04,2166.2380000000003"
DH-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,DEHUMIDIFIER SCHEDULE,"2670.482,2323.68,2832.48,2358.002"
DH-M2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,DEHUMIDIFIER SCHEDULE,"2670.482,2358.002,2832.48,2392.56"
DH-M3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,DEHUMIDIFIER SCHEDULE,"2670.482,2392.56,2832.48,2427.12"
DH-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,DEHUMIDIFIER SCHEDULE,"265.2,1675.2,427.2,1709.52"
DH-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,DEHUMIDIFIER SCHEDULE,"265.2,1709.52,427.2,1744.08"
DH-T3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,DEHUMIDIFIER SCHEDULE,"265.2,1744.08,427.2,1778.64"
