tag,description,qty,unit,sheet_id,table_title,bbox_px
FCU-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1673.038,441.6,1707.36"
FCU-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1707.36,441.6,1741.92"
FCU-A3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1741.92,441.6,1776.48"
FCU-A4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1776.48,441.6,1810.798"
FCU-A5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1810.798,441.6,1845.358"
FCU-A6,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1845.358,441.6,1879.918"
FCU-A7,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1879.918,441.6,1914.48"
FCU-A8A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1914.48,441.6,1948.8"
FCU-A8B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1948.8,441.6,1983.36"
FCU-A9,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,1983.36,441.6,2017.918"
FCU-A10,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,2017.918,441.6,2052.2380000000003"
FCU-A11,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,2052.2380000000003,441.6,2086.8"
FCU-A12,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,2086.8,441.6,2121.3599999999997"
FCU-A13,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,FAN COIL UNIT SCHEDULE,"301.2,2121.3599999999997,441.6,2155.68"
FCU-M1A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,702.2359999999999,416.16,736.556"
FCU-M1B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,736.556,416.16,771.116"
FCU-M2A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,771.116,416.16,805.6759999999999"
FCU-M2B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,805.6759999999999,416.16,839.9960000000001"
FCU-M3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,839.9960000000001,416.16,874.556"
FCU-M4A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,874.556,416.16,909.116"
FCU-M4B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,909.116,416.16,943.6759999999999"
FCU-M5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,943.6759999999999,416.16,977.9960000000001"
FCU-M6,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,977.9960000000001,416.16,1012.556"
FCU-M7,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,FAN COIL UNIT SCHEDULE,"313.682,1012.556,416.16,1047.118"
FCU-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,856.556,342.24,891.116"
FCU-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,891.116,342.24,925.6759999999999"
FCU-T3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,925.6759999999999,342.24,959.9960000000001"
FCU-T4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,959.9960000000001,342.24,994.556"
FCU-T5A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,994.556,342.24,1029.116"
FCU-T5B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,FAN COIL UNIT SCHEDULE,"230.64,1029.116,342.24,1063.4360000000001"
